1.00V	1.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	6.718594e+00	
-1.980000e-01	7.114322e+00	
-1.960000e-01	7.137075e+00	
-1.940000e-01	7.061468e+00	
-1.920000e-01	7.066249e+00	
-1.900000e-01	6.981585e+00	
-1.880000e-01	7.183693e+00	
-1.860000e-01	7.271753e+00	
-1.840000e-01	7.305302e+00	
-1.820000e-01	7.130261e+00	
-1.800000e-01	7.031605e+00	
-1.780000e-01	7.078117e+00	
-1.760000e-01	6.992128e+00	
-1.740000e-01	7.042876e+00	
-1.720000e-01	7.190689e+00	
-1.700000e-01	7.050996e+00	
-1.680000e-01	7.099702e+00	
-1.660000e-01	7.093064e+00	
-1.640000e-01	7.112133e+00	
-1.620000e-01	6.987024e+00	
-1.600000e-01	6.963274e+00	
-1.580000e-01	7.044341e+00	
-1.560000e-01	7.178973e+00	
-1.540000e-01	7.015269e+00	
-1.520000e-01	6.962865e+00	
-1.500000e-01	7.029138e+00	
-1.480000e-01	7.075728e+00	
-1.460000e-01	7.026695e+00	
-1.440000e-01	6.984781e+00	
-1.420000e-01	7.220226e+00	
-1.400000e-01	6.932908e+00	
-1.380000e-01	7.069524e+00	
-1.360000e-01	6.949436e+00	
-1.340000e-01	7.038571e+00	
-1.320000e-01	6.960359e+00	
-1.300000e-01	6.973331e+00	
-1.280000e-01	7.127109e+00	
-1.260000e-01	7.055854e+00	
-1.240000e-01	7.018214e+00	
-1.220000e-01	6.871905e+00	
-1.200000e-01	7.043161e+00	
-1.180000e-01	7.015802e+00	
-1.160000e-01	7.130216e+00	
-1.140000e-01	7.041740e+00	
-1.120000e-01	6.826421e+00	
-1.100000e-01	6.904481e+00	
-1.080000e-01	6.842496e+00	
-1.060000e-01	6.940007e+00	
-1.040000e-01	6.980281e+00	
-1.020000e-01	7.097711e+00	
-1.000000e-01	6.973720e+00	
-9.800000e-02	6.982479e+00	
-9.600000e-02	6.883260e+00	
-9.400000e-02	6.967473e+00	
-9.200000e-02	7.009168e+00	
-9.000000e-02	7.096805e+00	
-8.800000e-02	7.162196e+00	
-8.600000e-02	6.973316e+00	
-8.400000e-02	6.937768e+00	
-8.200000e-02	6.913104e+00	
-8.000000e-02	6.925994e+00	
-7.800000e-02	6.939111e+00	
-7.600000e-02	6.891520e+00	
-7.400000e-02	6.909501e+00	
-7.200000e-02	6.979715e+00	
-7.000000e-02	6.834564e+00	
-6.800000e-02	6.918573e+00	
-6.600000e-02	6.790611e+00	
-6.400000e-02	6.938598e+00	
-6.200000e-02	6.940241e+00	
-6.000000e-02	6.840082e+00	
-5.800000e-02	6.863789e+00	
-5.600000e-02	6.769625e+00	
-5.400000e-02	6.687406e+00	
-5.200000e-02	6.822770e+00	
-5.000000e-02	6.719388e+00	
-4.800000e-02	6.922012e+00	
-4.600000e-02	6.793984e+00	
-4.400000e-02	6.660840e+00	
-4.200000e-02	6.738279e+00	
-4.000000e-02	6.700744e+00	
-3.800000e-02	6.771155e+00	
-3.600000e-02	6.734363e+00	
-3.400000e-02	6.637839e+00	
-3.200000e-02	6.736095e+00	
-3.000000e-02	6.558599e+00	
-2.800000e-02	6.589976e+00	
-2.600000e-02	6.471870e+00	
-2.400000e-02	6.589798e+00	
-2.200000e-02	6.622522e+00	
-2.000000e-02	6.593148e+00	
-1.800000e-02	6.474555e+00	
-1.600000e-02	6.401276e+00	
-1.400000e-02	6.247394e+00	
-1.200000e-02	6.194714e+00	
-1.000000e-02	6.240722e+00	
-8.000000e-03	6.013323e+00	
-6.000000e-03	5.984574e+00	
-4.000000e-03	5.793311e+00	
-2.000000e-03	5.942579e+00	
0.000000e+00	6.140182e+00	
2.000000e-03	6.930329e+00	
4.000000e-03	7.573395e+00	
6.000000e-03	8.099922e+00	
8.000000e-03	8.030324e+00	
1.000000e-02	7.988009e+00	
1.200000e-02	7.946486e+00	
1.400000e-02	7.803374e+00	
1.600000e-02	7.749637e+00	
1.800000e-02	7.753990e+00	
2.000000e-02	7.722975e+00	
2.200000e-02	7.576539e+00	
2.400000e-02	7.445495e+00	
2.600000e-02	7.453924e+00	
2.800000e-02	7.412603e+00	
3.000000e-02	7.416860e+00	
3.200000e-02	7.380253e+00	
3.400000e-02	7.339620e+00	
3.600000e-02	7.311490e+00	
3.800000e-02	7.329701e+00	
4.000000e-02	7.327453e+00	
4.200000e-02	7.332997e+00	
4.400000e-02	7.140299e+00	
4.600000e-02	7.265283e+00	
4.800000e-02	7.302167e+00	
5.000000e-02	7.387944e+00	
5.200000e-02	7.150812e+00	
5.400000e-02	7.214189e+00	
5.600000e-02	7.133610e+00	
5.800000e-02	7.266291e+00	
6.000000e-02	7.412005e+00	
6.200000e-02	7.256245e+00	
6.400000e-02	7.334230e+00	
6.600000e-02	7.108634e+00	
6.800000e-02	7.153859e+00	
7.000000e-02	7.201432e+00	
7.200000e-02	7.253808e+00	
7.400000e-02	7.229822e+00	
7.600000e-02	7.168895e+00	
7.800000e-02	7.123482e+00	
8.000000e-02	7.194372e+00	
8.200000e-02	7.010917e+00	
8.400000e-02	7.152041e+00	
8.600000e-02	7.142904e+00	
8.800000e-02	7.033125e+00	
9.000000e-02	7.064144e+00	
9.200000e-02	7.123079e+00	
9.400000e-02	7.062485e+00	
9.600000e-02	7.104636e+00	
9.800000e-02	7.115167e+00	
1.000000e-01	7.036485e+00	
1.020000e-01	7.202908e+00	
1.040000e-01	7.185139e+00	
1.060000e-01	7.101332e+00	
1.080000e-01	7.119277e+00	
1.100000e-01	7.151611e+00	
1.120000e-01	7.157691e+00	
1.140000e-01	7.079593e+00	
1.160000e-01	7.060994e+00	
1.180000e-01	7.099330e+00	
1.200000e-01	7.120810e+00	
1.220000e-01	7.176504e+00	
1.240000e-01	7.153300e+00	
1.260000e-01	7.076703e+00	
1.280000e-01	7.032520e+00	
1.300000e-01	7.070530e+00	
1.320000e-01	7.113095e+00	
1.340000e-01	7.048106e+00	
1.360000e-01	7.133081e+00	
1.380000e-01	7.023041e+00	
1.400000e-01	7.071636e+00	
1.420000e-01	7.081687e+00	
1.440000e-01	7.115880e+00	
1.460000e-01	6.997067e+00	
1.480000e-01	6.941842e+00	
1.500000e-01	7.019405e+00	
1.520000e-01	7.052231e+00	
1.540000e-01	7.100493e+00	
1.560000e-01	7.216221e+00	
1.580000e-01	6.953751e+00	
1.600000e-01	6.962609e+00	
1.620000e-01	6.984764e+00	
1.640000e-01	6.927184e+00	
1.660000e-01	7.110741e+00	
1.680000e-01	7.023885e+00	
1.700000e-01	6.937365e+00	
1.720000e-01	6.947059e+00	
1.740000e-01	6.966086e+00	
1.760000e-01	7.031877e+00	
1.780000e-01	7.032279e+00	
1.800000e-01	7.052583e+00	
1.820000e-01	7.049030e+00	
1.840000e-01	6.961661e+00	
1.860000e-01	6.982049e+00	
1.880000e-01	6.945352e+00	
1.900000e-01	6.947257e+00	
1.920000e-01	7.010704e+00	
1.940000e-01	7.073638e+00	
1.960000e-01	6.935050e+00	
1.980000e-01	6.986190e+00	
