4.00V	4.00V
Magnetic Field (T)	Lock-In Average (V)
1.600000e-01	2.899255e+01	
1.620000e-01	2.913187e+01	
1.640000e-01	2.920503e+01	
1.660000e-01	2.884975e+01	
1.680000e-01	2.907698e+01	
1.700000e-01	2.883963e+01	
1.720000e-01	2.936897e+01	
1.740000e-01	2.904305e+01	
1.760000e-01	2.916869e+01	
1.780000e-01	2.861511e+01	
1.800000e-01	2.902404e+01	
1.820000e-01	2.909664e+01	
1.840000e-01	2.881355e+01	
1.860000e-01	2.846042e+01	
1.880000e-01	2.864865e+01	
1.900000e-01	2.860828e+01	
1.920000e-01	2.914568e+01	
1.940000e-01	2.917516e+01	
1.960000e-01	2.874959e+01	
1.980000e-01	2.860746e+01	
