5.00V	5.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	3.878182e+01	
-1.980000e-01	3.953637e+01	
-1.960000e-01	3.873717e+01	
-1.940000e-01	3.880645e+01	
-1.920000e-01	3.926611e+01	
-1.900000e-01	3.914619e+01	
-1.880000e-01	4.010843e+01	
-1.860000e-01	3.883723e+01	
-1.840000e-01	3.949567e+01	
-1.820000e-01	3.888175e+01	
-1.800000e-01	4.085190e+01	
-1.780000e-01	3.906008e+01	
-1.760000e-01	3.863000e+01	
-1.740000e-01	4.012460e+01	
-1.720000e-01	3.837122e+01	
-1.700000e-01	3.932068e+01	
-1.680000e-01	3.979410e+01	
-1.660000e-01	3.905062e+01	
-1.640000e-01	3.954977e+01	
-1.620000e-01	3.978849e+01	
-1.600000e-01	3.866338e+01	
-1.580000e-01	3.896124e+01	
-1.560000e-01	3.913053e+01	
-1.540000e-01	3.915712e+01	
-1.520000e-01	3.868032e+01	
-1.500000e-01	3.975652e+01	
-1.480000e-01	3.841807e+01	
-1.460000e-01	3.980565e+01	
-1.440000e-01	3.913491e+01	
-1.420000e-01	3.856592e+01	
-1.400000e-01	3.926920e+01	
-1.380000e-01	3.924499e+01	
-1.360000e-01	3.965817e+01	
-1.340000e-01	3.941795e+01	
-1.320000e-01	3.892809e+01	
-1.300000e-01	3.942486e+01	
-1.280000e-01	3.866420e+01	
-1.260000e-01	3.926420e+01	
-1.240000e-01	3.931679e+01	
-1.220000e-01	3.874473e+01	
-1.200000e-01	3.920943e+01	
-1.180000e-01	3.873580e+01	
-1.160000e-01	3.931512e+01	
-1.140000e-01	3.901995e+01	
-1.120000e-01	3.939757e+01	
-1.100000e-01	3.977963e+01	
-1.080000e-01	3.760764e+01	
-1.060000e-01	3.983336e+01	
-1.040000e-01	3.966062e+01	
-1.020000e-01	3.872490e+01	
-1.000000e-01	3.920821e+01	
-9.800000e-02	3.913681e+01	
-9.600000e-02	3.887748e+01	
-9.400000e-02	3.945641e+01	
-9.200000e-02	3.921555e+01	
-9.000000e-02	3.912747e+01	
-8.800000e-02	3.899857e+01	
-8.600000e-02	3.830645e+01	
-8.400000e-02	3.846998e+01	
-8.200000e-02	3.968795e+01	
-8.000000e-02	3.832220e+01	
-7.800000e-02	3.917942e+01	
-7.600000e-02	3.852441e+01	
-7.400000e-02	3.966972e+01	
-7.200000e-02	3.922946e+01	
-7.000000e-02	3.858002e+01	
-6.800000e-02	3.967145e+01	
-6.600000e-02	3.770168e+01	
-6.400000e-02	3.952914e+01	
-6.200000e-02	3.947790e+01	
-6.000000e-02	3.856303e+01	
-5.800000e-02	3.861596e+01	
-5.600000e-02	3.923295e+01	
-5.400000e-02	3.877051e+01	
-5.200000e-02	3.845753e+01	
-5.000000e-02	3.969356e+01	
-4.800000e-02	3.829870e+01	
-4.600000e-02	3.860427e+01	
-4.400000e-02	3.867215e+01	
-4.200000e-02	3.723684e+01	
-4.000000e-02	3.877063e+01	
-3.800000e-02	3.956207e+01	
-3.600000e-02	3.821466e+01	
-3.400000e-02	3.786414e+01	
-3.200000e-02	3.860505e+01	
-3.000000e-02	3.782868e+01	
-2.800000e-02	3.759936e+01	
-2.600000e-02	3.722081e+01	
-2.400000e-02	3.844356e+01	
-2.200000e-02	3.760540e+01	
-2.000000e-02	3.776211e+01	
-1.800000e-02	3.699154e+01	
-1.600000e-02	3.726437e+01	
-1.400000e-02	3.785412e+01	
-1.200000e-02	3.685355e+01	
-1.000000e-02	3.749205e+01	
-8.000000e-03	3.806144e+01	
-6.000000e-03	3.797708e+01	
-4.000000e-03	3.908680e+01	
-2.000000e-03	3.747063e+01	
0.000000e+00	3.929457e+01	
2.000000e-03	3.912590e+01	
4.000000e-03	4.029359e+01	
6.000000e-03	4.127676e+01	
8.000000e-03	4.085452e+01	
1.000000e-02	4.138591e+01	
1.200000e-02	4.149912e+01	
1.400000e-02	4.079518e+01	
1.600000e-02	4.116132e+01	
1.800000e-02	4.013020e+01	
2.000000e-02	4.068213e+01	
2.200000e-02	4.187415e+01	
2.400000e-02	4.077234e+01	
2.600000e-02	4.060757e+01	
2.800000e-02	4.088786e+01	
3.000000e-02	4.055445e+01	
3.200000e-02	4.086655e+01	
3.400000e-02	4.103647e+01	
3.600000e-02	3.984828e+01	
3.800000e-02	4.000789e+01	
4.000000e-02	4.061710e+01	
4.200000e-02	3.992996e+01	
4.400000e-02	4.117636e+01	
4.600000e-02	4.015269e+01	
4.800000e-02	3.981146e+01	
5.000000e-02	4.043618e+01	
5.200000e-02	3.940525e+01	
5.400000e-02	4.000250e+01	
5.600000e-02	4.060244e+01	
5.800000e-02	3.919858e+01	
6.000000e-02	4.061430e+01	
6.200000e-02	3.994249e+01	
6.400000e-02	3.996922e+01	
6.600000e-02	4.017239e+01	
6.800000e-02	3.933047e+01	
7.000000e-02	4.013509e+01	
7.200000e-02	3.956227e+01	
7.400000e-02	4.083230e+01	
7.600000e-02	3.980383e+01	
7.800000e-02	3.968975e+01	
8.000000e-02	3.964851e+01	
8.200000e-02	3.912779e+01	
8.400000e-02	3.937351e+01	
8.600000e-02	4.003890e+01	
8.800000e-02	4.015450e+01	
9.000000e-02	4.011571e+01	
9.200000e-02	3.853844e+01	
9.400000e-02	4.113510e+01	
9.600000e-02	3.943511e+01	
9.800000e-02	4.013445e+01	
1.000000e-01	3.959318e+01	
1.020000e-01	3.961308e+01	
1.040000e-01	3.899031e+01	
1.060000e-01	3.863194e+01	
1.080000e-01	3.996271e+01	
1.100000e-01	3.921671e+01	
1.120000e-01	3.946309e+01	
1.140000e-01	3.964218e+01	
1.160000e-01	3.899256e+01	
1.180000e-01	3.996006e+01	
1.200000e-01	3.891485e+01	
1.220000e-01	4.016255e+01	
1.240000e-01	3.861065e+01	
1.260000e-01	3.824743e+01	
1.280000e-01	3.812011e+01	
1.300000e-01	3.867429e+01	
1.320000e-01	3.910467e+01	
1.340000e-01	3.970345e+01	
1.360000e-01	3.859671e+01	
1.380000e-01	3.924062e+01	
1.400000e-01	3.869948e+01	
1.420000e-01	3.865906e+01	
1.440000e-01	3.995676e+01	
1.460000e-01	3.934489e+01	
1.480000e-01	3.877803e+01	
1.500000e-01	3.859978e+01	
1.520000e-01	3.885000e+01	
1.540000e-01	3.932052e+01	
1.560000e-01	3.906140e+01	
1.580000e-01	3.879732e+01	
1.600000e-01	3.830790e+01	
1.620000e-01	3.862998e+01	
1.640000e-01	3.903574e+01	
1.660000e-01	3.848039e+01	
1.680000e-01	3.781991e+01	
1.700000e-01	3.894661e+01	
1.720000e-01	3.837615e+01	
1.740000e-01	3.843391e+01	
1.760000e-01	3.917306e+01	
1.780000e-01	3.763423e+01	
1.800000e-01	3.921799e+01	
1.820000e-01	3.792017e+01	
1.840000e-01	3.904976e+01	
1.860000e-01	3.781816e+01	
1.880000e-01	3.843849e+01	
1.900000e-01	3.851256e+01	
1.920000e-01	3.774378e+01	
1.940000e-01	3.886005e+01	
1.960000e-01	3.752920e+01	
1.980000e-01	3.853081e+01	
