6.00V	6.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	4.700171e+01	
-1.980000e-01	4.643812e+01	
-1.960000e-01	4.811938e+01	
-1.940000e-01	4.912262e+01	
-1.920000e-01	4.795822e+01	
-1.900000e-01	4.800434e+01	
-1.880000e-01	4.900379e+01	
-1.860000e-01	4.891603e+01	
-1.840000e-01	4.723950e+01	
-1.820000e-01	4.917616e+01	
-1.800000e-01	4.832171e+01	
-1.780000e-01	4.888546e+01	
-1.760000e-01	4.846178e+01	
-1.740000e-01	4.776584e+01	
-1.720000e-01	5.031639e+01	
-1.700000e-01	4.785581e+01	
-1.680000e-01	4.819927e+01	
-1.660000e-01	4.854131e+01	
-1.640000e-01	4.831453e+01	
-1.620000e-01	4.868031e+01	
-1.600000e-01	4.793384e+01	
-1.580000e-01	4.835211e+01	
-1.560000e-01	4.856550e+01	
-1.540000e-01	5.017622e+01	
-1.520000e-01	4.864286e+01	
-1.500000e-01	4.699226e+01	
-1.480000e-01	4.871395e+01	
-1.460000e-01	4.840109e+01	
-1.440000e-01	4.838556e+01	
-1.420000e-01	4.837414e+01	
-1.400000e-01	4.741515e+01	
-1.380000e-01	4.974367e+01	
-1.360000e-01	4.845672e+01	
-1.340000e-01	4.909715e+01	
-1.320000e-01	4.699476e+01	
-1.300000e-01	4.899945e+01	
-1.280000e-01	4.828331e+01	
-1.260000e-01	4.729429e+01	
-1.240000e-01	4.897120e+01	
-1.220000e-01	4.828461e+01	
-1.200000e-01	4.889014e+01	
-1.180000e-01	4.825073e+01	
-1.160000e-01	4.774691e+01	
-1.140000e-01	4.891736e+01	
-1.120000e-01	4.807710e+01	
-1.100000e-01	4.826229e+01	
-1.080000e-01	4.792300e+01	
-1.060000e-01	4.809252e+01	
-1.040000e-01	4.808445e+01	
-1.020000e-01	4.861733e+01	
-1.000000e-01	4.907320e+01	
-9.800000e-02	4.810142e+01	
-9.600000e-02	4.710196e+01	
-9.400000e-02	4.793661e+01	
-9.200000e-02	4.854806e+01	
-9.000000e-02	4.724954e+01	
-8.800000e-02	4.793970e+01	
-8.600000e-02	4.827262e+01	
-8.400000e-02	4.829220e+01	
-8.200000e-02	4.789488e+01	
-8.000000e-02	4.877719e+01	
-7.800000e-02	4.770453e+01	
-7.600000e-02	4.800005e+01	
-7.400000e-02	4.858077e+01	
-7.200000e-02	4.780492e+01	
-7.000000e-02	4.706592e+01	
-6.800000e-02	4.820050e+01	
-6.600000e-02	4.665740e+01	
-6.400000e-02	4.745940e+01	
-6.200000e-02	4.688704e+01	
-6.000000e-02	4.790976e+01	
-5.800000e-02	4.727658e+01	
-5.600000e-02	4.741292e+01	
-5.400000e-02	4.678997e+01	
-5.200000e-02	4.902327e+01	
-5.000000e-02	4.848552e+01	
-4.800000e-02	4.622717e+01	
-4.600000e-02	4.808488e+01	
-4.400000e-02	4.737966e+01	
-4.200000e-02	4.723530e+01	
-4.000000e-02	4.693757e+01	
-3.800000e-02	4.667913e+01	
-3.600000e-02	4.759846e+01	
-3.400000e-02	4.721690e+01	
-3.200000e-02	4.685769e+01	
-3.000000e-02	4.729061e+01	
-2.800000e-02	4.681589e+01	
-2.600000e-02	4.663163e+01	
-2.400000e-02	4.739757e+01	
-2.200000e-02	4.604003e+01	
-2.000000e-02	4.701121e+01	
-1.800000e-02	4.729947e+01	
-1.600000e-02	4.748287e+01	
-1.400000e-02	4.661041e+01	
-1.200000e-02	4.590184e+01	
-1.000000e-02	4.591556e+01	
-8.000000e-03	4.727226e+01	
-6.000000e-03	4.755991e+01	
-4.000000e-03	4.761179e+01	
-2.000000e-03	4.799517e+01	
0.000000e+00	4.781300e+01	
2.000000e-03	4.874276e+01	
4.000000e-03	4.960704e+01	
6.000000e-03	4.855234e+01	
8.000000e-03	4.938379e+01	
1.000000e-02	5.008878e+01	
1.200000e-02	4.991488e+01	
1.400000e-02	5.062417e+01	
1.600000e-02	4.991017e+01	
1.800000e-02	5.028121e+01	
2.000000e-02	4.934938e+01	
2.200000e-02	4.888502e+01	
2.400000e-02	5.047344e+01	
2.600000e-02	5.000714e+01	
