2.00V	2.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	1.423014e+01	
-1.980000e-01	1.310047e+01	
-1.960000e-01	1.302936e+01	
-1.940000e-01	1.308999e+01	
-1.920000e-01	1.327051e+01	
-1.900000e-01	1.325892e+01	
-1.880000e-01	1.318860e+01	
-1.860000e-01	1.332254e+01	
-1.840000e-01	1.322733e+01	
-1.820000e-01	1.318715e+01	
-1.800000e-01	1.324417e+01	
-1.780000e-01	1.312382e+01	
-1.760000e-01	1.303143e+01	
-1.740000e-01	1.335013e+01	
-1.720000e-01	1.341080e+01	
-1.700000e-01	1.314595e+01	
-1.680000e-01	1.326408e+01	
-1.660000e-01	1.332294e+01	
-1.640000e-01	1.325174e+01	
-1.620000e-01	1.308108e+01	
-1.600000e-01	1.309046e+01	
-1.580000e-01	1.315272e+01	
-1.560000e-01	1.317042e+01	
-1.540000e-01	1.305786e+01	
-1.520000e-01	1.311280e+01	
-1.500000e-01	1.318417e+01	
-1.480000e-01	1.315308e+01	
-1.460000e-01	1.310399e+01	
-1.440000e-01	1.326189e+01	
-1.420000e-01	1.330950e+01	
-1.400000e-01	1.327959e+01	
-1.380000e-01	1.316424e+01	
-1.360000e-01	1.312258e+01	
-1.340000e-01	1.311865e+01	
-1.320000e-01	1.309083e+01	
-1.300000e-01	1.311564e+01	
-1.280000e-01	1.305260e+01	
-1.260000e-01	1.314596e+01	
-1.240000e-01	1.308947e+01	
-1.220000e-01	1.309536e+01	
-1.200000e-01	1.325615e+01	
-1.180000e-01	1.313935e+01	
-1.160000e-01	1.326675e+01	
-1.140000e-01	1.317685e+01	
-1.120000e-01	1.288294e+01	
-1.100000e-01	1.295934e+01	
-1.080000e-01	1.298535e+01	
-1.060000e-01	1.288313e+01	
-1.040000e-01	1.302823e+01	
-1.020000e-01	1.306530e+01	
-1.000000e-01	1.295609e+01	
-9.800000e-02	1.301496e+01	
-9.600000e-02	1.297291e+01	
-9.400000e-02	1.284146e+01	
-9.200000e-02	1.299372e+01	
-9.000000e-02	1.294165e+01	
-8.800000e-02	1.320643e+01	
-8.600000e-02	1.328951e+01	
-8.400000e-02	1.291131e+01	
-8.200000e-02	1.295895e+01	
-8.000000e-02	1.297353e+01	
-7.800000e-02	1.299802e+01	
