7.00V	7.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	5.578331e+01	
-1.980000e-01	5.581072e+01	
-1.960000e-01	5.621679e+01	
-1.940000e-01	5.644421e+01	
-1.920000e-01	5.530229e+01	
-1.900000e-01	5.610429e+01	
-1.880000e-01	5.661208e+01	
-1.860000e-01	5.775824e+01	
-1.840000e-01	5.606605e+01	
-1.820000e-01	5.677083e+01	
-1.800000e-01	5.561760e+01	
-1.780000e-01	5.711025e+01	
-1.760000e-01	5.694326e+01	
-1.740000e-01	5.620208e+01	
-1.720000e-01	5.690753e+01	
-1.700000e-01	5.648262e+01	
-1.680000e-01	5.533849e+01	
-1.660000e-01	5.626846e+01	
-1.640000e-01	5.735468e+01	
-1.620000e-01	5.738205e+01	
-1.600000e-01	5.735141e+01	
-1.580000e-01	5.643931e+01	
-1.560000e-01	5.612443e+01	
-1.540000e-01	5.599683e+01	
-1.520000e-01	5.659379e+01	
-1.500000e-01	5.660258e+01	
-1.480000e-01	5.696751e+01	
-1.460000e-01	5.603050e+01	
-1.440000e-01	5.621762e+01	
-1.420000e-01	5.666236e+01	
-1.400000e-01	5.653383e+01	
-1.380000e-01	5.632619e+01	
-1.360000e-01	5.623949e+01	
-1.340000e-01	5.730508e+01	
-1.320000e-01	5.732659e+01	
-1.300000e-01	5.625982e+01	
-1.280000e-01	5.814950e+01	
-1.260000e-01	5.775262e+01	
-1.240000e-01	5.713121e+01	
-1.220000e-01	5.697141e+01	
-1.200000e-01	5.747826e+01	
-1.180000e-01	5.632028e+01	
-1.160000e-01	5.756122e+01	
-1.140000e-01	5.685910e+01	
-1.120000e-01	5.905563e+01	
-1.100000e-01	5.691877e+01	
-1.080000e-01	5.618858e+01	
-1.060000e-01	5.718492e+01	
-1.040000e-01	5.810025e+01	
-1.020000e-01	5.576374e+01	
-1.000000e-01	5.606866e+01	
-9.800000e-02	5.602095e+01	
-9.600000e-02	5.711989e+01	
-9.400000e-02	5.674771e+01	
-9.200000e-02	5.621100e+01	
-9.000000e-02	5.585289e+01	
-8.800000e-02	5.724076e+01	
-8.600000e-02	5.499607e+01	
-8.400000e-02	5.618025e+01	
-8.200000e-02	5.688164e+01	
-8.000000e-02	5.540649e+01	
-7.800000e-02	5.618212e+01	
-7.600000e-02	5.642148e+01	
-7.400000e-02	5.609097e+01	
-7.200000e-02	5.673076e+01	
-7.000000e-02	5.662662e+01	
-6.800000e-02	5.561666e+01	
-6.600000e-02	5.568564e+01	
-6.400000e-02	5.533092e+01	
-6.200000e-02	5.581866e+01	
-6.000000e-02	5.542930e+01	
-5.800000e-02	5.663520e+01	
-5.600000e-02	5.511429e+01	
-5.400000e-02	5.594498e+01	
-5.200000e-02	5.535963e+01	
-5.000000e-02	5.602819e+01	
-4.800000e-02	5.526585e+01	
-4.600000e-02	5.621341e+01	
-4.400000e-02	5.514780e+01	
-4.200000e-02	5.476486e+01	
-4.000000e-02	5.558006e+01	
-3.800000e-02	5.616682e+01	
-3.600000e-02	5.425249e+01	
-3.400000e-02	5.572200e+01	
-3.200000e-02	5.558265e+01	
-3.000000e-02	5.518222e+01	
-2.800000e-02	5.581072e+01	
-2.600000e-02	5.656579e+01	
-2.400000e-02	5.582507e+01	
-2.200000e-02	5.449453e+01	
-2.000000e-02	5.417479e+01	
-1.800000e-02	5.478764e+01	
-1.600000e-02	5.478133e+01	
-1.400000e-02	5.466555e+01	
-1.200000e-02	5.482064e+01	
-1.000000e-02	5.410457e+01	
-8.000000e-03	5.525908e+01	
-6.000000e-03	5.567652e+01	
-4.000000e-03	5.540109e+01	
-2.000000e-03	5.590040e+01	
0.000000e+00	5.669169e+01	
2.000000e-03	5.644175e+01	
4.000000e-03	5.671246e+01	
6.000000e-03	5.692649e+01	
8.000000e-03	5.745858e+01	
1.000000e-02	5.724241e+01	
1.200000e-02	5.774091e+01	
1.400000e-02	5.776380e+01	
1.600000e-02	5.845918e+01	
1.800000e-02	5.777271e+01	
2.000000e-02	5.845093e+01	
2.200000e-02	5.893850e+01	
2.400000e-02	5.747289e+01	
2.600000e-02	5.934195e+01	
2.800000e-02	5.804901e+01	
3.000000e-02	5.738561e+01	
3.200000e-02	5.712302e+01	
3.400000e-02	5.706757e+01	
3.600000e-02	5.856927e+01	
3.800000e-02	5.775465e+01	
4.000000e-02	5.841736e+01	
4.200000e-02	5.789477e+01	
4.400000e-02	5.914439e+01	
4.600000e-02	5.720553e+01	
4.800000e-02	5.844259e+01	
5.000000e-02	5.679699e+01	
5.200000e-02	5.695103e+01	
5.400000e-02	5.690387e+01	
5.600000e-02	5.724717e+01	
5.800000e-02	5.774078e+01	
6.000000e-02	5.750514e+01	
6.200000e-02	5.637292e+01	
6.400000e-02	5.691094e+01	
6.600000e-02	5.777002e+01	
6.800000e-02	5.750993e+01	
7.000000e-02	5.681439e+01	
7.200000e-02	5.715796e+01	
7.400000e-02	5.612079e+01	
7.600000e-02	5.736529e+01	
7.800000e-02	5.775836e+01	
8.000000e-02	5.637845e+01	
8.200000e-02	5.662694e+01	
8.400000e-02	5.845253e+01	
8.600000e-02	5.612042e+01	
8.800000e-02	5.657163e+01	
9.000000e-02	5.546731e+01	
9.200000e-02	5.659310e+01	
9.400000e-02	5.579718e+01	
9.600000e-02	5.620287e+01	
9.800000e-02	5.667455e+01	
1.000000e-01	5.633218e+01	
1.020000e-01	5.650244e+01	
1.040000e-01	5.703437e+01	
1.060000e-01	5.704080e+01	
1.080000e-01	5.658071e+01	
1.100000e-01	5.693266e+01	
1.120000e-01	5.541090e+01	
1.140000e-01	5.589246e+01	
1.160000e-01	5.674482e+01	
1.180000e-01	5.603042e+01	
1.200000e-01	5.676270e+01	
1.220000e-01	5.556100e+01	
1.240000e-01	5.600177e+01	
1.260000e-01	5.599574e+01	
1.280000e-01	5.629810e+01	
1.300000e-01	5.705311e+01	
1.320000e-01	5.690837e+01	
1.340000e-01	5.506411e+01	
1.360000e-01	5.711020e+01	
1.380000e-01	5.564543e+01	
1.400000e-01	5.503590e+01	
1.420000e-01	5.585165e+01	
1.440000e-01	5.552605e+01	
1.460000e-01	5.615731e+01	
1.480000e-01	5.514462e+01	
1.500000e-01	5.574097e+01	
1.520000e-01	5.574384e+01	
1.540000e-01	5.508124e+01	
1.560000e-01	5.681826e+01	
1.580000e-01	5.491695e+01	
1.600000e-01	5.453000e+01	
1.620000e-01	5.571263e+01	
1.640000e-01	5.494065e+01	
1.660000e-01	5.553308e+01	
1.680000e-01	5.622240e+01	
1.700000e-01	5.562838e+01	
1.720000e-01	5.539863e+01	
1.740000e-01	5.525156e+01	
1.760000e-01	5.469648e+01	
1.780000e-01	5.607005e+01	
1.800000e-01	5.506778e+01	
1.820000e-01	5.559015e+01	
1.840000e-01	5.444093e+01	
1.860000e-01	5.621604e+01	
1.880000e-01	5.392780e+01	
1.900000e-01	5.531837e+01	
1.920000e-01	5.520206e+01	
1.940000e-01	5.497509e+01	
1.960000e-01	5.645356e+01	
1.980000e-01	5.471297e+01	
