3.00V	3.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	1.827340e+01	
-1.980000e-01	1.904362e+01	
-1.960000e-01	1.934985e+01	
-1.940000e-01	1.943596e+01	
-1.920000e-01	1.944224e+01	
-1.900000e-01	1.931654e+01	
-1.880000e-01	1.958820e+01	
-1.860000e-01	1.946643e+01	
-1.840000e-01	1.944436e+01	
-1.820000e-01	1.953468e+01	
-1.800000e-01	1.950434e+01	
-1.780000e-01	1.932834e+01	
-1.760000e-01	1.944785e+01	
-1.740000e-01	1.946101e+01	
-1.720000e-01	1.935070e+01	
-1.700000e-01	1.928446e+01	
-1.680000e-01	1.946413e+01	
-1.660000e-01	1.947990e+01	
-1.640000e-01	1.948707e+01	
-1.620000e-01	1.944596e+01	
-1.600000e-01	1.961739e+01	
-1.580000e-01	1.939066e+01	
-1.560000e-01	1.938405e+01	
-1.540000e-01	1.946610e+01	
-1.520000e-01	1.961655e+01	
-1.500000e-01	1.925380e+01	
-1.480000e-01	1.945140e+01	
-1.460000e-01	1.959365e+01	
-1.440000e-01	1.959028e+01	
-1.420000e-01	1.932734e+01	
-1.400000e-01	1.934031e+01	
-1.380000e-01	1.945215e+01	
-1.360000e-01	1.942701e+01	
-1.340000e-01	1.931461e+01	
-1.320000e-01	1.927378e+01	
-1.300000e-01	1.940495e+01	
-1.280000e-01	1.954264e+01	
-1.260000e-01	1.932983e+01	
-1.240000e-01	1.944910e+01	
-1.220000e-01	1.936351e+01	
-1.200000e-01	1.951328e+01	
-1.180000e-01	1.923967e+01	
-1.160000e-01	1.950490e+01	
-1.140000e-01	1.946753e+01	
-1.120000e-01	1.945458e+01	
-1.100000e-01	1.957468e+01	
-1.080000e-01	1.940144e+01	
-1.060000e-01	1.979980e+01	
-1.040000e-01	1.969890e+01	
-1.020000e-01	1.940985e+01	
-1.000000e-01	1.956500e+01	
-9.800000e-02	1.957891e+01	
-9.600000e-02	1.930828e+01	
-9.400000e-02	1.951184e+01	
-9.200000e-02	1.932004e+01	
-9.000000e-02	1.925850e+01	
-8.800000e-02	1.919305e+01	
-8.600000e-02	1.938368e+01	
-8.400000e-02	1.919136e+01	
-8.200000e-02	1.929475e+01	
-8.000000e-02	1.933938e+01	
-7.800000e-02	1.909919e+01	
-7.600000e-02	1.947914e+01	
-7.400000e-02	1.938997e+01	
-7.200000e-02	1.932685e+01	
-7.000000e-02	1.935178e+01	
-6.800000e-02	1.935671e+01	
-6.600000e-02	1.932135e+01	
-6.400000e-02	1.945569e+01	
-6.200000e-02	1.934563e+01	
-6.000000e-02	1.918048e+01	
-5.800000e-02	1.915326e+01	
-5.600000e-02	1.923447e+01	
-5.400000e-02	1.919493e+01	
-5.200000e-02	1.910389e+01	
-5.000000e-02	1.917602e+01	
-4.800000e-02	1.912799e+01	
-4.600000e-02	1.917302e+01	
-4.400000e-02	1.896322e+01	
-4.200000e-02	1.884704e+01	
-4.000000e-02	1.890867e+01	
-3.800000e-02	1.896132e+01	
-3.600000e-02	1.867152e+01	
-3.400000e-02	1.873979e+01	
-3.200000e-02	1.858507e+01	
-3.000000e-02	1.871203e+01	
-2.800000e-02	1.855660e+01	
-2.600000e-02	1.847105e+01	
-2.400000e-02	1.824155e+01	
-2.200000e-02	1.828393e+01	
-2.000000e-02	1.823704e+01	
-1.800000e-02	1.806536e+01	
-1.600000e-02	1.815960e+01	
-1.400000e-02	1.780391e+01	
-1.200000e-02	1.780447e+01	
-1.000000e-02	1.780604e+01	
-8.000000e-03	1.766669e+01	
-6.000000e-03	1.786257e+01	
-4.000000e-03	1.773749e+01	
-2.000000e-03	1.827612e+01	
0.000000e+00	1.894315e+01	
2.000000e-03	1.960922e+01	
4.000000e-03	2.043518e+01	
6.000000e-03	2.122910e+01	
8.000000e-03	2.137668e+01	
1.000000e-02	2.149195e+01	
1.200000e-02	2.143379e+01	
1.400000e-02	2.160147e+01	
1.600000e-02	2.152840e+01	
1.800000e-02	2.140805e+01	
2.000000e-02	2.118709e+01	
2.200000e-02	2.127636e+01	
2.400000e-02	2.110285e+01	
2.600000e-02	2.112324e+01	
2.800000e-02	2.082915e+01	
3.000000e-02	2.075764e+01	
3.200000e-02	2.080674e+01	
3.400000e-02	2.076031e+01	
3.600000e-02	2.073686e+01	
3.800000e-02	2.049653e+01	
4.000000e-02	2.061358e+01	
4.200000e-02	2.061522e+01	
4.400000e-02	2.020131e+01	
4.600000e-02	2.025436e+01	
4.800000e-02	2.026827e+01	
5.000000e-02	2.006624e+01	
5.200000e-02	2.021555e+01	
5.400000e-02	2.011399e+01	
5.600000e-02	2.031413e+01	
5.800000e-02	2.025227e+01	
6.000000e-02	2.027013e+01	
6.200000e-02	2.001913e+01	
6.400000e-02	2.009090e+01	
6.600000e-02	2.027595e+01	
6.800000e-02	2.014239e+01	
7.000000e-02	2.008213e+01	
7.200000e-02	2.032005e+01	
7.400000e-02	2.007214e+01	
7.600000e-02	1.995759e+01	
7.800000e-02	1.986994e+01	
8.000000e-02	1.987575e+01	
8.200000e-02	1.986260e+01	
8.400000e-02	2.025526e+01	
8.600000e-02	2.015258e+01	
8.800000e-02	1.975966e+01	
9.000000e-02	1.998122e+01	
9.200000e-02	1.972911e+01	
9.400000e-02	1.971013e+01	
9.600000e-02	1.989171e+01	
9.800000e-02	1.990985e+01	
1.000000e-01	1.996217e+01	
1.020000e-01	1.984493e+01	
1.040000e-01	1.996090e+01	
1.060000e-01	1.980136e+01	
1.080000e-01	1.995932e+01	
1.100000e-01	2.002953e+01	
1.120000e-01	2.005836e+01	
1.140000e-01	1.979351e+01	
1.160000e-01	1.995493e+01	
1.180000e-01	2.003025e+01	
1.200000e-01	1.977481e+01	
1.220000e-01	1.997582e+01	
1.240000e-01	1.985033e+01	
1.260000e-01	1.995762e+01	
1.280000e-01	1.993496e+01	
1.300000e-01	1.980637e+01	
1.320000e-01	2.010185e+01	
1.340000e-01	1.977328e+01	
1.360000e-01	1.985646e+01	
1.380000e-01	1.982595e+01	
1.400000e-01	1.980957e+01	
1.420000e-01	2.010356e+01	
1.440000e-01	1.981283e+01	
1.460000e-01	1.983148e+01	
1.480000e-01	1.965314e+01	
1.500000e-01	1.951557e+01	
1.520000e-01	1.985866e+01	
1.540000e-01	1.961299e+01	
1.560000e-01	1.953397e+01	
1.580000e-01	1.952828e+01	
1.600000e-01	1.962820e+01	
1.620000e-01	1.977853e+01	
1.640000e-01	1.982723e+01	
1.660000e-01	1.950219e+01	
1.680000e-01	1.958199e+01	
1.700000e-01	1.965409e+01	
1.720000e-01	1.965192e+01	
1.740000e-01	1.964368e+01	
1.760000e-01	1.958160e+01	
1.780000e-01	1.942198e+01	
1.800000e-01	1.962374e+01	
1.820000e-01	1.965629e+01	
1.840000e-01	1.933940e+01	
1.860000e-01	1.954075e+01	
1.880000e-01	1.957465e+01	
1.900000e-01	1.971688e+01	
1.920000e-01	1.971897e+01	
1.940000e-01	1.956914e+01	
1.960000e-01	1.959135e+01	
1.980000e-01	1.945422e+01	
