RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T
Delay (ps)	Lock-In 1 (V)	Lock-In 2 (V)
-5.001662e+002	1.060000e-004	-2.150000e-002
-4.752355e+002	9.200000e-005	-2.706000e-002
-4.503047e+002	7.100000e-005	-3.154000e-002
-4.253740e+002	5.500000e-005	-3.610000e-002
-4.001662e+002	4.200000e-005	-3.700000e-002
-3.752355e+002	4.000000e-005	-3.878000e-002
-3.503601e+002	-1.000000e-006	-3.792000e-002
-3.250970e+002	9.000000e-005	-3.608000e-002
-3.001662e+002	5.200000e-005	-3.248000e-002
-2.752909e+002	8.900000e-005	-2.842000e-002
-2.503047e+002	1.080000e-004	-2.348000e-002
-2.253740e+002	1.400000e-004	-1.706000e-002
-2.001662e+002	1.710000e-004	-1.128000e-002
-1.752909e+002	2.250000e-004	-4.360000e-003
-1.503047e+002	2.800000e-004	2.680000e-003
-1.253740e+002	3.160000e-004	9.920000e-003
-1.001662e+002	3.940000e-004	1.596000e-002
-7.523546e+001	4.430000e-004	2.136000e-002
-5.030471e+001	4.290000e-004	2.724000e-002
-2.537396e+001	5.790000e-004	5.058000e-002
-1.662050e-001	2.813000e-003	4.254400e-001
2.476454e+001	2.812000e-003	4.067800e-001
4.963989e+001	2.594000e-003	3.760800e-001
7.490305e+001	2.428000e-003	3.315800e-001
9.983380e+001	2.108000e-003	2.898200e-001
1.247645e+002	1.722000e-003	2.342000e-001
1.499723e+002	1.332000e-003	1.669800e-001
1.748476e+002	8.740000e-004	9.792000e-002
1.998338e+002	4.670000e-004	2.968000e-002
2.247645e+002	7.900000e-005	-3.934000e-002
2.499723e+002	-4.120000e-004	-1.079000e-001
2.749030e+002	-7.920000e-004	-1.732000e-001
2.998338e+002	-1.144000e-003	-2.293600e-001
3.247645e+002	-1.467000e-003	-2.765800e-001
3.499723e+002	-1.639000e-003	-3.183600e-001
3.749030e+002	-1.880000e-003	-3.523800e-001
3.997784e+002	-1.977000e-003	-3.679400e-001
4.250416e+002	-2.040000e-003	-3.699200e-001
4.499723e+002	-2.008000e-003	-3.680200e-001
4.749030e+002	-1.867000e-003	-3.581400e-001
4.997784e+002	-1.744000e-003	-3.252200e-001
5.249861e+002	-1.464000e-003	-2.884400e-001
5.499723e+002	-1.211000e-003	-2.439200e-001
5.749584e+002	-8.830000e-004	-1.898800e-001
5.998892e+002	-5.050000e-004	-1.310000e-001
6.247645e+002	-1.600000e-004	-6.776000e-002
6.500277e+002	2.460000e-004	-5.700000e-003
6.749584e+002	6.670000e-004	6.052000e-002
6.998892e+002	1.053000e-003	1.201000e-001
7.247645e+002	1.421000e-003	1.783400e-001
7.499723e+002	1.701000e-003	2.302400e-001
7.749584e+002	2.007000e-003	2.698000e-001
7.998892e+002	2.230000e-003	3.042400e-001
8.248199e+002	2.382000e-003	3.316800e-001
8.496953e+002	2.433000e-003	3.436000e-001
8.749584e+002	2.472000e-003	3.458800e-001
8.998892e+002	2.368000e-003	3.395000e-001
9.248199e+002	2.306000e-003	3.221800e-001
9.499723e+002	2.097000e-003	2.937600e-001
9.749030e+002	1.941000e-003	2.583600e-001
9.998892e+002	1.630000e-003	2.142200e-001
1.024820e+003	1.300000e-003	1.633200e-001
1.049751e+003	9.690000e-004	1.075000e-001
1.074958e+003	6.150000e-004	5.342000e-002
1.099889e+003	2.590000e-004	-4.860000e-003
1.124875e+003	-1.030000e-004	-6.328000e-002
1.149806e+003	-4.400000e-004	-1.170000e-001
1.175014e+003	-7.870000e-004	-1.731400e-001
1.199889e+003	-1.029000e-003	-2.174600e-001
1.224875e+003	-1.210000e-003	-2.549600e-001
1.249806e+003	-1.375000e-003	-2.797200e-001
1.274958e+003	-1.637000e-003	-2.956600e-001
1.299889e+003	-1.626000e-003	-3.118400e-001
1.324875e+003	-1.679000e-003	-3.186800e-001
1.349806e+003	-1.615000e-003	-2.963400e-001
1.375014e+003	-1.452000e-003	-2.880000e-001
1.399945e+003	-1.298000e-003	-2.547400e-001
1.424931e+003	-1.033000e-003	-2.158800e-001
1.449861e+003	-7.660000e-004	-1.717400e-001
1.474792e+003	-4.720000e-004	-1.279600e-001
1.499945e+003	-1.900000e-004	-7.592000e-002
1.524931e+003	1.800000e-004	-1.950000e-002
1.549861e+003	4.980000e-004	3.218000e-002
1.574792e+003	8.230000e-004	8.616000e-002
1.599945e+003	1.163000e-003	1.297000e-001
1.624931e+003	1.408000e-003	1.796800e-001
1.649861e+003	1.633000e-003	2.163800e-001
1.674792e+003	1.833000e-003	2.463400e-001
1.700000e+003	1.965000e-003	2.691600e-001
1.724875e+003	2.122000e-003	2.841800e-001
1.749861e+003	2.111000e-003	2.901200e-001
1.774792e+003	2.055000e-003	2.869400e-001
1.800000e+003	1.979000e-003	2.727600e-001
1.824875e+003	1.872000e-003	2.569400e-001
1.849861e+003	1.733000e-003	2.261400e-001
1.874737e+003	1.530000e-003	1.952000e-001
1.899945e+003	1.239000e-003	1.528000e-001
1.924875e+003	9.680000e-004	1.094000e-001
1.949751e+003	6.810000e-004	6.048000e-002
1.975014e+003	3.760000e-004	1.298000e-002
1.999945e+003	3.200000e-005	-3.930000e-002
2.024875e+003	-2.530000e-004	-8.750000e-002
2.049751e+003	-5.260000e-004	-1.303200e-001
2.075014e+003	-7.700000e-004	-1.690600e-001
2.099945e+003	-9.340000e-004	-2.011000e-001
2.124875e+003	-1.146000e-003	-2.318000e-001
2.149806e+003	-1.210000e-003	-2.458600e-001
2.174958e+003	-1.292000e-003	-2.588000e-001
2.199945e+003	-1.328000e-003	-2.585400e-001
2.224875e+003	-1.191000e-003	-2.528400e-001
2.249806e+003	-1.122000e-003	-2.374200e-001
2.274958e+003	-1.049000e-003	-2.190800e-001
2.299945e+003	-9.170000e-004	-1.955000e-001
2.324875e+003	-7.150000e-004	-1.605800e-001
2.349806e+003	-4.430000e-004	-1.201400e-001
2.375014e+003	-1.770000e-004	-7.712000e-002
2.399889e+003	1.130000e-004	-3.462000e-002
2.424875e+003	3.610000e-004	1.280000e-002
2.449806e+003	6.630000e-004	5.714000e-002
2.475014e+003	9.110000e-004	9.856000e-002
2.499889e+003	1.119000e-003	1.371200e-001
2.524875e+003	1.387000e-003	1.686800e-001
2.549806e+003	1.522000e-003	1.969600e-001
2.575014e+003	1.635000e-003	2.194400e-001
2.599945e+003	1.786000e-003	2.369400e-001
2.624820e+003	1.833000e-003	2.489000e-001
2.649806e+003	1.808000e-003	2.414400e-001
2.675014e+003	1.779000e-003	2.361200e-001
2.699945e+003	1.648000e-003	2.182800e-001
2.724820e+003	1.519000e-003	1.957200e-001
2.750083e+003	1.293000e-003	1.673800e-001
2.775014e+003	1.147000e-003	1.345400e-001
2.799945e+003	8.940000e-004	9.940000e-002
2.824875e+003	6.440000e-004	5.962000e-002
2.849751e+003	4.020000e-004	1.868000e-002
2.875014e+003	1.420000e-004	-2.228000e-002
2.899945e+003	-9.900000e-005	-6.208000e-002
2.924875e+003	-2.710000e-004	-1.009200e-001
2.949806e+003	-5.100000e-004	-1.323800e-001
2.975014e+003	-7.630000e-004	-1.615800e-001
2.999945e+003	-8.470000e-004	-1.846200e-001
3.024820e+003	-9.690000e-004	-2.034400e-001
3.049751e+003	-1.050000e-003	-2.146600e-001
3.074958e+003	-1.101000e-003	-2.178600e-001
3.099889e+003	-1.092000e-003	-2.099200e-001
3.124820e+003	-9.210000e-004	-2.068400e-001
3.149972e+003	-8.800000e-004	-1.872600e-001
3.174958e+003	-7.460000e-004	-1.658800e-001
3.199834e+003	-6.180000e-004	-1.406600e-001
3.224820e+003	-3.910000e-004	-1.105800e-001
3.249751e+003	-1.590000e-004	-7.704000e-002
3.274903e+003	1.500000e-005	-4.192000e-002
3.299889e+003	2.510000e-004	-2.280000e-003
3.324820e+003	5.170000e-004	3.304000e-002
3.350028e+003	7.430000e-004	7.056000e-002
3.374903e+003	9.430000e-004	1.027400e-001
3.399889e+003	1.114000e-003	1.348400e-001
3.424820e+003	1.234000e-003	1.575600e-001
3.449751e+003	1.421000e-003	1.806000e-001
