RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T
3.474958e+003	1.546000e-003	1.965000e-001
3.499834e+003	1.580000e-003	2.019400e-001
3.524820e+003	1.567000e-003	2.088800e-001
3.550028e+003	1.575000e-003	2.011800e-001
3.574958e+003	1.521000e-003	1.852400e-001
3.599834e+003	1.401000e-003	1.756800e-001
3.624820e+003	1.217000e-003	1.474600e-001
3.649751e+003	1.078000e-003	1.205600e-001
3.674958e+003	8.900000e-004	9.626000e-002
3.699889e+003	6.870000e-004	6.290000e-002
3.724765e+003	4.730000e-004	2.866000e-002
3.750028e+003	2.500000e-004	-5.940000e-003
3.774958e+003	2.600000e-005	-3.880000e-002
3.799889e+003	-1.620000e-004	-7.194000e-002
3.824765e+003	-2.700000e-004	-1.016800e-001
3.850028e+003	-5.060000e-004	-1.245200e-001
3.874958e+003	-6.210000e-004	-1.471600e-001
3.899889e+003	-7.400000e-004	-1.633000e-001
3.924820e+003	-7.830000e-004	-1.753200e-001
3.949972e+003	-8.490000e-004	-1.814600e-001
3.974958e+003	-7.420000e-004	-1.819400e-001
3.999889e+003	-8.070000e-004	-1.731600e-001
4.024820e+003	-7.290000e-004	-1.653800e-001
4.049695e+003	-6.150000e-004	-1.446600e-001
4.074958e+003	-4.330000e-004	-1.180000e-001
4.099889e+003	-2.440000e-004	-9.326000e-002
4.124820e+003	-1.050000e-004	-6.810000e-002
4.150028e+003	-7.000000e-006	-4.038000e-002
4.174903e+003	2.330000e-004	-1.000000e-002
4.199889e+003	4.440000e-004	2.082000e-002
4.224820e+003	6.480000e-004	5.156000e-002
4.249751e+003	7.530000e-004	7.790000e-002
4.274903e+003	9.590000e-004	1.019800e-001
4.299889e+003	1.084000e-003	1.231200e-001
4.324820e+003	1.195000e-003	1.405600e-001
4.350028e+003	1.316000e-003	1.569400e-001
4.374958e+003	1.410000e-003	1.709000e-001
4.399834e+003	1.382000e-003	1.740200e-001
4.424820e+003	1.346000e-003	1.623400e-001
4.449751e+003	1.274000e-003	1.560400e-001
4.474958e+003	1.243000e-003	1.469800e-001
4.499834e+003	1.121000e-003	1.269200e-001
4.524820e+003	9.720000e-004	1.061600e-001
4.550028e+003	8.600000e-004	8.556000e-002
4.574958e+003	7.020000e-004	5.876000e-002
4.599834e+003	5.160000e-004	3.028000e-002
4.624765e+003	3.080000e-004	4.400000e-003
4.650028e+003	1.620000e-004	-2.330000e-002
4.674958e+003	2.900000e-005	-5.016000e-002
4.699889e+003	-1.190000e-004	-7.500000e-002
4.724820e+003	-3.020000e-004	-9.782000e-002
4.750028e+003	-4.260000e-004	-1.186200e-001
4.774958e+003	-5.190000e-004	-1.297200e-001
4.799889e+003	-5.590000e-004	-1.395000e-001
4.824820e+003	-5.710000e-004	-1.478600e-001
4.849695e+003	-5.850000e-004	-1.529200e-001
4.874958e+003	-5.710000e-004	-1.428600e-001
4.899889e+003	-5.580000e-004	-1.360400e-001
4.924820e+003	-4.380000e-004	-1.237800e-001
4.950028e+003	-3.060000e-004	-1.031600e-001
4.974958e+003	-2.200000e-004	-8.140000e-002
4.999889e+003	-1.100000e-005	-6.292000e-002
5.024875e+003	7.300000e-005	-3.858000e-002
5.049751e+003	2.800000e-004	-1.322000e-002
5.075014e+003	4.450000e-004	1.214000e-002
5.099945e+003	4.950000e-004	3.650000e-002
5.124875e+003	6.660000e-004	6.026000e-002
5.149751e+003	8.350000e-004	7.802000e-002
5.175014e+003	9.710000e-004	1.036600e-001
5.199889e+003	1.089000e-003	1.154000e-001
5.224875e+003	1.162000e-003	1.353200e-001
5.249751e+003	1.149000e-003	1.387600e-001
5.275014e+003	1.135000e-003	1.402800e-001
5.299945e+003	1.199000e-003	1.380800e-001
5.324875e+003	1.220000e-003	1.340000e-001
5.349806e+003	1.137000e-003	1.250600e-001
5.374958e+003	1.009000e-003	1.127000e-001
5.399945e+003	9.050000e-004	9.734000e-002
5.424875e+003	8.100000e-004	7.598000e-002
5.449806e+003	7.270000e-004	5.650000e-002
5.475014e+003	5.440000e-004	3.450000e-002
5.499889e+003	4.110000e-004	1.104000e-002
5.524875e+003	2.230000e-004	-1.460000e-002
5.549806e+003	9.800000e-005	-3.490000e-002
5.575014e+003	6.000000e-006	-5.614000e-002
5.599889e+003	-1.460000e-004	-7.638000e-002
5.624875e+003	-2.300000e-004	-9.178000e-002
5.649806e+003	-2.430000e-004	-1.006800e-001
5.675014e+003	-3.330000e-004	-1.108800e-001
5.699945e+003	-3.660000e-004	-1.167400e-001
5.724875e+003	-4.070000e-004	-1.236400e-001
5.749806e+003	-4.110000e-004	-1.244600e-001
5.775014e+003	-3.320000e-004	-1.169400e-001
5.799945e+003	-2.940000e-004	-1.047600e-001
5.824820e+003	-2.140000e-004	-9.306000e-002
5.849806e+003	-1.570000e-004	-8.042000e-002
5.875014e+003	1.400000e-005	-5.862000e-002
5.899945e+003	8.300000e-005	-4.228000e-002
5.924820e+003	2.120000e-004	-2.210000e-002
5.950028e+003	3.450000e-004	-8.600000e-004
5.975014e+003	4.970000e-004	2.222000e-002
5.999945e+003	6.260000e-004	4.220000e-002
6.024875e+003	7.570000e-004	5.894000e-002
6.049751e+003	8.510000e-004	7.620000e-002
6.075014e+003	9.020000e-004	8.960000e-002
6.099945e+003	9.990000e-004	1.010200e-001
6.124875e+003	1.029000e-003	1.089800e-001
6.149751e+003	1.012000e-003	1.157000e-001
6.174958e+003	1.067000e-003	1.133400e-001
6.199945e+003	1.015000e-003	1.070200e-001
6.224875e+003	9.980000e-004	9.244000e-002
6.249751e+003	9.200000e-004	9.214000e-002
6.274903e+003	8.910000e-004	8.016000e-002
6.299889e+003	8.040000e-004	6.854000e-002
6.324820e+003	6.740000e-004	4.776000e-002
6.350028e+003	5.660000e-004	3.218000e-002
6.374903e+003	4.550000e-004	1.550000e-002
6.399834e+003	3.470000e-004	-4.340000e-003
6.424820e+003	2.490000e-004	-2.328000e-002
6.449751e+003	1.390000e-004	-3.880000e-002
6.474958e+003	-4.000000e-006	-5.568000e-002
6.499834e+003	-4.500000e-005	-7.024000e-002
6.524820e+003	-1.300000e-004	-8.238000e-002
6.550028e+003	-2.130000e-004	-9.454000e-002
6.574903e+003	-2.240000e-004	-9.802000e-002
6.599889e+003	-2.340000e-004	-1.000600e-001
6.624820e+003	-2.620000e-004	-9.708000e-002
6.649751e+003	-1.740000e-004	-8.684000e-002
6.674958e+003	-1.530000e-004	-9.202000e-002
6.699889e+003	-3.100000e-005	-7.298000e-002
6.724820e+003	-1.000000e-005	-6.002000e-002
6.750028e+003	9.400000e-005	-4.902000e-002
6.774958e+003	1.710000e-004	-3.548000e-002
6.799889e+003	2.490000e-004	-1.748000e-002
6.824765e+003	3.550000e-004	-2.460000e-003
6.850028e+003	4.830000e-004	1.386000e-002
6.874958e+003	5.260000e-004	3.022000e-002
6.899889e+003	6.060000e-004	4.520000e-002
6.924765e+003	7.680000e-004	5.848000e-002
6.950028e+003	7.880000e-004	6.732000e-002
6.974958e+003	8.900000e-004	8.028000e-002
