RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T
Delay (ps)	Lock-In 1 (V)	Lock-In 2 (V)
-5.002216e+002	1.300000e-004	-2.200000e-002
-4.752909e+002	1.220000e-004	-2.742000e-002
-4.503601e+002	8.800000e-005	-3.182000e-002
-4.254294e+002	3.300000e-005	-3.474000e-002
-4.002216e+002	5.000000e-005	-3.608000e-002
-3.753463e+002	6.800000e-005	-3.650000e-002
-3.503601e+002	3.600000e-005	-3.682000e-002
-3.254294e+002	3.600000e-005	-3.560000e-002
-3.001662e+002	1.190000e-004	-3.078000e-002
-2.752909e+002	1.190000e-004	-2.684000e-002
-2.503047e+002	1.270000e-004	-2.158000e-002
-2.253740e+002	2.050000e-004	-1.578000e-002
-2.004432e+002	2.200000e-004	-1.070000e-002
-1.752355e+002	2.790000e-004	-3.640000e-003
-1.503601e+002	3.180000e-004	2.920000e-003
-1.253740e+002	3.440000e-004	9.800000e-003
-1.004432e+002	3.900000e-004	1.658000e-002
-7.523546e+001	4.060000e-004	2.234000e-002
-5.036011e+001	4.440000e-004	2.830000e-002
-2.537396e+001	6.040000e-004	5.424000e-002
-4.432133e-001	2.899000e-003	4.189000e-001
2.476454e+001	2.760000e-003	4.096200e-001
4.969529e+001	2.599000e-003	3.809800e-001
7.490305e+001	2.400000e-003	3.394800e-001
9.983380e+001	2.051000e-003	2.939600e-001
1.247645e+002	1.722000e-003	2.339800e-001
1.499723e+002	1.413000e-003	1.674000e-001
1.748476e+002	8.840000e-004	9.922000e-002
1.997784e+002	4.940000e-004	2.998000e-002
2.250416e+002	5.900000e-005	-4.162000e-002
2.499723e+002	-3.780000e-004	-1.092400e-001
2.748476e+002	-7.460000e-004	-1.698600e-001
2.998338e+002	-1.112000e-003	-2.253200e-001
3.247645e+002	-1.435000e-003	-2.783400e-001
3.499723e+002	-1.705000e-003	-3.193400e-001
3.748476e+002	-1.872000e-003	-3.455400e-001
3.998338e+002	-1.962000e-003	-3.628800e-001
4.247645e+002	-1.959000e-003	-3.676200e-001
4.499723e+002	-1.913000e-003	-3.662400e-001
4.749030e+002	-1.923000e-003	-3.534400e-001
4.998338e+002	-1.698000e-003	-3.254400e-001
5.247645e+002	-1.501000e-003	-2.869200e-001
5.499169e+002	-1.246000e-003	-2.439000e-001
5.749030e+002	-8.750000e-004	-1.904000e-001
5.997784e+002	-4.750000e-004	-1.301200e-001
6.249861e+002	-1.220000e-004	-7.062000e-002
6.499723e+002	2.760000e-004	-4.340000e-003
6.749030e+002	6.710000e-004	5.910000e-002
6.998338e+002	1.059000e-003	1.215400e-001
7.247091e+002	1.424000e-003	1.736200e-001
7.499723e+002	1.697000e-003	2.251400e-001
7.749030e+002	1.970000e-003	2.687400e-001
7.998338e+002	2.175000e-003	3.051400e-001
8.247091e+002	2.346000e-003	3.276000e-001
8.499723e+002	2.428000e-003	3.429400e-001
8.749030e+002	2.479000e-003	3.429400e-001
8.998338e+002	2.366000e-003	3.352200e-001
9.247645e+002	2.296000e-003	3.170000e-001
9.499169e+002	2.070000e-003	2.889600e-001
9.749030e+002	1.905000e-003	2.515200e-001
9.998338e+002	1.546000e-003	2.067600e-001
1.024765e+003	1.310000e-003	1.597200e-001
1.049972e+003	9.450000e-004	1.044400e-001
1.074903e+003	6.140000e-004	5.126000e-002
1.099834e+003	2.660000e-004	-5.480000e-003
1.124765e+003	-6.500000e-005	-6.332000e-002
1.149972e+003	-4.120000e-004	-1.185000e-001
1.174848e+003	-7.550000e-004	-1.718800e-001
1.199834e+003	-1.048000e-003	-2.154000e-001
1.224765e+003	-1.298000e-003	-2.511400e-001
1.249972e+003	-1.464000e-003	-2.826800e-001
1.274903e+003	-1.535000e-003	-3.001200e-001
1.299889e+003	-1.642000e-003	-3.131600e-001
1.324820e+003	-1.609000e-003	-3.111200e-001
1.350028e+003	-1.575000e-003	-3.022600e-001
1.374958e+003	-1.442000e-003	-2.814800e-001
1.399834e+003	-1.280000e-003	-2.533800e-001
1.424820e+003	-1.063000e-003	-2.207800e-001
1.449751e+003	-8.210000e-004	-1.748800e-001
1.474958e+003	-4.910000e-004	-1.264400e-001
1.499834e+003	-2.070000e-004	-7.534000e-002
1.524820e+003	1.710000e-004	-2.182000e-002
1.550028e+003	5.350000e-004	3.160000e-002
1.574958e+003	8.090000e-004	8.318000e-002
1.599889e+003	1.091000e-003	1.326600e-001
1.624765e+003	1.406000e-003	1.739800e-001
1.650028e+003	1.628000e-003	2.146800e-001
1.674958e+003	1.866000e-003	2.471200e-001
1.699889e+003	1.954000e-003	2.678600e-001
1.724765e+003	2.065000e-003	2.813800e-001
1.750028e+003	2.081000e-003	2.876800e-001
1.774958e+003	2.065000e-003	2.804000e-001
1.799889e+003	1.998000e-003	2.706200e-001
1.824820e+003	1.832000e-003	2.529400e-001
1.849695e+003	1.707000e-003	2.250200e-001
1.874958e+003	1.508000e-003	1.908000e-001
1.899889e+003	1.301000e-003	1.524800e-001
1.924820e+003	9.950000e-004	1.080600e-001
1.949972e+003	6.430000e-004	5.836000e-002
1.974958e+003	3.540000e-004	1.218000e-002
