2.00V	2.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	1.239566e+01	
-1.980000e-01	1.256690e+01	
-1.960000e-01	1.265901e+01	
-1.940000e-01	1.250168e+01	
-1.920000e-01	1.231764e+01	
-1.900000e-01	1.233621e+01	
-1.880000e-01	1.239731e+01	
-1.860000e-01	1.253409e+01	
-1.840000e-01	1.261831e+01	
-1.820000e-01	1.259227e+01	
-1.800000e-01	1.246393e+01	
-1.780000e-01	1.220670e+01	
-1.760000e-01	1.233228e+01	
-1.740000e-01	1.233750e+01	
-1.720000e-01	1.245794e+01	
-1.700000e-01	1.247957e+01	
-1.680000e-01	1.250852e+01	
-1.660000e-01	1.237773e+01	
-1.640000e-01	1.207347e+01	
-1.620000e-01	1.224982e+01	
-1.600000e-01	1.241272e+01	
-1.580000e-01	1.237142e+01	
-1.560000e-01	1.250576e+01	
-1.540000e-01	1.245058e+01	
-1.520000e-01	1.239569e+01	
-1.500000e-01	1.228288e+01	
-1.480000e-01	1.223271e+01	
-1.460000e-01	1.229605e+01	
-1.440000e-01	1.231825e+01	
-1.420000e-01	1.246824e+01	
-1.400000e-01	1.249611e+01	
-1.380000e-01	1.220553e+01	
-1.360000e-01	1.218267e+01	
-1.340000e-01	1.196169e+01	
-1.320000e-01	1.223167e+01	
-1.300000e-01	1.218545e+01	
-1.280000e-01	1.221630e+01	
-1.260000e-01	1.221804e+01	
-1.240000e-01	1.207620e+01	
-1.220000e-01	1.204633e+01	
-1.200000e-01	1.210360e+01	
-1.180000e-01	1.221942e+01	
-1.160000e-01	1.230576e+01	
-1.140000e-01	1.230289e+01	
-1.120000e-01	1.212635e+01	
-1.100000e-01	1.205883e+01	
-1.080000e-01	1.184208e+01	
-1.060000e-01	1.206430e+01	
-1.040000e-01	1.217864e+01	
-1.020000e-01	1.228837e+01	
-1.000000e-01	1.218400e+01	
-9.800000e-02	1.198421e+01	
-9.600000e-02	1.188393e+01	
-9.400000e-02	1.194662e+01	
-9.200000e-02	1.202547e+01	
-9.000000e-02	1.194241e+01	
-8.800000e-02	1.210876e+01	
-8.600000e-02	1.210990e+01	
-8.400000e-02	1.187884e+01	
-8.200000e-02	1.181132e+01	
-8.000000e-02	1.180116e+01	
-7.800000e-02	1.184788e+01	
-7.600000e-02	1.189700e+01	
-7.400000e-02	1.199973e+01	
-7.200000e-02	1.174960e+01	
-7.000000e-02	1.162032e+01	
-6.800000e-02	1.165683e+01	
-6.600000e-02	1.191130e+01	
-6.400000e-02	1.186170e+01	
-6.200000e-02	1.175717e+01	
-6.000000e-02	1.186674e+01	
-5.800000e-02	1.165227e+01	
-5.600000e-02	1.144830e+01	
-5.400000e-02	1.140667e+01	
-5.200000e-02	1.145559e+01	
-5.000000e-02	1.144006e+01	
-4.800000e-02	1.164580e+01	
-4.600000e-02	1.154106e+01	
-4.400000e-02	1.145977e+01	
-4.200000e-02	1.134513e+01	
-4.000000e-02	1.121925e+01	
-3.800000e-02	1.120047e+01	
-3.600000e-02	1.121715e+01	
-3.400000e-02	1.114646e+01	
-3.200000e-02	1.094830e+01	
-3.000000e-02	1.082980e+01	
-2.800000e-02	1.071039e+01	
-2.600000e-02	1.057999e+01	
-2.400000e-02	1.068508e+01	
-2.200000e-02	1.059913e+01	
-2.000000e-02	1.051580e+01	
-1.800000e-02	1.031621e+01	
-1.600000e-02	9.935145e+00	
-1.400000e-02	9.667327e+00	
-1.200000e-02	9.428099e+00	
-1.000000e-02	9.274742e+00	
-8.000000e-03	9.237976e+00	
-6.000000e-03	8.966668e+00	
-4.000000e-03	8.848316e+00	
-2.000000e-03	9.286379e+00	
0.000000e+00	1.028749e+01	
2.000000e-03	1.212085e+01	
4.000000e-03	1.407829e+01	
6.000000e-03	1.527943e+01	
8.000000e-03	1.605353e+01	
1.000000e-02	1.573715e+01	
1.200000e-02	1.556140e+01	
1.400000e-02	1.533314e+01	
1.600000e-02	1.523747e+01	
1.800000e-02	1.498152e+01	
2.000000e-02	1.475730e+01	
2.200000e-02	1.449533e+01	
2.400000e-02	1.428432e+01	
2.600000e-02	1.420359e+01	
2.800000e-02	1.404322e+01	
3.000000e-02	1.402968e+01	
3.200000e-02	1.406729e+01	
3.400000e-02	1.401823e+01	
3.600000e-02	1.374920e+01	
3.800000e-02	1.372147e+01	
4.000000e-02	1.337826e+01	
4.200000e-02	1.342983e+01	
4.400000e-02	1.343076e+01	
4.600000e-02	1.356771e+01	
4.800000e-02	1.326848e+01	
5.000000e-02	1.319059e+01	
5.200000e-02	1.319110e+01	
5.400000e-02	1.295635e+01	
5.600000e-02	1.308933e+01	
5.800000e-02	1.323301e+01	
6.000000e-02	1.343643e+01	
6.200000e-02	1.307993e+01	
6.400000e-02	1.302723e+01	
6.600000e-02	1.287480e+01	
6.800000e-02	1.301185e+01	
7.000000e-02	1.301748e+01	
7.200000e-02	1.307612e+01	
7.400000e-02	1.305440e+01	
7.600000e-02	1.288486e+01	
7.800000e-02	1.275938e+01	
8.000000e-02	1.276588e+01	
8.200000e-02	1.291863e+01	
8.400000e-02	1.277052e+01	
8.600000e-02	1.292920e+01	
8.800000e-02	1.283151e+01	
9.000000e-02	1.277854e+01	
9.200000e-02	1.264196e+01	
9.400000e-02	1.267546e+01	
9.600000e-02	1.262914e+01	
9.800000e-02	1.266303e+01	
1.000000e-01	1.288675e+01	
1.020000e-01	1.273566e+01	
1.040000e-01	1.256405e+01	
1.060000e-01	1.255240e+01	
1.080000e-01	1.247896e+01	
1.100000e-01	1.246049e+01	
1.120000e-01	1.267030e+01	
1.140000e-01	1.265479e+01	
1.160000e-01	1.252059e+01	
1.180000e-01	1.237129e+01	
1.200000e-01	1.236446e+01	
1.220000e-01	1.229630e+01	
1.240000e-01	1.260990e+01	
1.260000e-01	1.271500e+01	
1.280000e-01	1.249387e+01	
1.300000e-01	1.242496e+01	
1.320000e-01	1.248477e+01	
1.340000e-01	1.242074e+01	
1.360000e-01	1.233153e+01	
1.380000e-01	1.235083e+01	
1.400000e-01	1.247680e+01	
1.420000e-01	1.250493e+01	
1.440000e-01	1.239490e+01	
1.460000e-01	1.239011e+01	
1.480000e-01	1.228609e+01	
1.500000e-01	1.218986e+01	
1.520000e-01	1.251285e+01	
1.540000e-01	1.248331e+01	
1.560000e-01	1.251709e+01	
1.580000e-01	1.214360e+01	
1.600000e-01	1.226663e+01	
1.620000e-01	1.221740e+01	
1.640000e-01	1.234405e+01	
1.660000e-01	1.233267e+01	
1.680000e-01	1.237840e+01	
1.700000e-01	1.228538e+01	
