7.00V	7.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	5.860429e+01	
-1.980000e-01	5.798840e+01	
-1.960000e-01	5.891699e+01	
-1.940000e-01	5.968584e+01	
-1.920000e-01	5.762236e+01	
-1.900000e-01	5.799110e+01	
-1.880000e-01	5.734492e+01	
-1.860000e-01	5.783933e+01	
-1.840000e-01	5.808774e+01	
-1.820000e-01	5.879587e+01	
-1.800000e-01	5.773139e+01	
-1.780000e-01	5.786575e+01	
-1.760000e-01	5.799128e+01	
-1.740000e-01	5.740172e+01	
-1.720000e-01	5.679273e+01	
-1.700000e-01	5.751247e+01	
-1.680000e-01	5.801440e+01	
-1.660000e-01	5.753540e+01	
-1.640000e-01	5.759996e+01	
-1.620000e-01	5.781382e+01	
-1.600000e-01	5.688260e+01	
-1.580000e-01	5.709118e+01	
-1.560000e-01	5.724650e+01	
-1.540000e-01	5.673098e+01	
-1.520000e-01	5.741953e+01	
-1.500000e-01	5.733907e+01	
-1.480000e-01	5.703357e+01	
-1.460000e-01	5.712317e+01	
-1.440000e-01	5.740215e+01	
-1.420000e-01	5.714521e+01	
-1.400000e-01	5.785719e+01	
-1.380000e-01	5.715393e+01	
-1.360000e-01	5.706599e+01	
-1.340000e-01	5.764324e+01	
-1.320000e-01	5.790266e+01	
-1.300000e-01	5.713656e+01	
-1.280000e-01	5.718133e+01	
-1.260000e-01	5.745929e+01	
-1.240000e-01	5.804129e+01	
-1.220000e-01	5.682819e+01	
-1.200000e-01	5.889387e+01	
-1.180000e-01	5.725721e+01	
-1.160000e-01	5.762923e+01	
-1.140000e-01	5.823181e+01	
-1.120000e-01	5.795088e+01	
-1.100000e-01	5.797615e+01	
-1.080000e-01	5.811691e+01	
-1.060000e-01	5.840919e+01	
-1.040000e-01	5.779976e+01	
-1.020000e-01	5.783142e+01	
-1.000000e-01	5.834028e+01	
-9.800000e-02	5.796264e+01	
-9.600000e-02	5.781634e+01	
-9.400000e-02	5.740978e+01	
-9.200000e-02	5.805871e+01	
-9.000000e-02	5.771309e+01	
-8.800000e-02	5.716796e+01	
-8.600000e-02	5.774753e+01	
-8.400000e-02	5.734373e+01	
-8.200000e-02	5.793412e+01	
-8.000000e-02	5.723895e+01	
-7.800000e-02	5.835270e+01	
-7.600000e-02	5.777304e+01	
-7.400000e-02	5.761656e+01	
-7.200000e-02	5.787523e+01	
-7.000000e-02	5.825371e+01	
-6.800000e-02	5.835863e+01	
-6.600000e-02	5.776224e+01	
-6.400000e-02	5.707421e+01	
-6.200000e-02	5.767101e+01	
-6.000000e-02	5.811995e+01	
-5.800000e-02	5.714889e+01	
-5.600000e-02	5.778699e+01	
-5.400000e-02	5.833279e+01	
-5.200000e-02	5.719542e+01	
-5.000000e-02	5.732903e+01	
-4.800000e-02	5.743720e+01	
-4.600000e-02	5.700278e+01	
-4.400000e-02	5.746722e+01	
-4.200000e-02	5.755881e+01	
-4.000000e-02	5.766906e+01	
-3.800000e-02	5.755490e+01	
-3.600000e-02	5.721951e+01	
-3.400000e-02	5.676779e+01	
-3.200000e-02	5.762675e+01	
-3.000000e-02	5.679762e+01	
-2.800000e-02	5.751377e+01	
-2.600000e-02	5.743724e+01	
-2.400000e-02	5.740279e+01	
-2.200000e-02	5.646370e+01	
-2.000000e-02	5.748770e+01	
-1.800000e-02	5.704415e+01	
-1.600000e-02	5.713664e+01	
-1.400000e-02	5.666140e+01	
-1.200000e-02	5.672422e+01	
-1.000000e-02	5.767189e+01	
-8.000000e-03	5.749442e+01	
-6.000000e-03	5.866511e+01	
-4.000000e-03	5.713136e+01	
-2.000000e-03	5.847437e+01	
0.000000e+00	5.838157e+01	
2.000000e-03	6.018365e+01	
4.000000e-03	5.871268e+01	
6.000000e-03	5.995720e+01	
8.000000e-03	5.985574e+01	
1.000000e-02	5.967012e+01	
1.200000e-02	6.046343e+01	
1.400000e-02	6.076796e+01	
1.600000e-02	6.042622e+01	
1.800000e-02	6.097211e+01	
2.000000e-02	5.946955e+01	
2.200000e-02	6.061517e+01	
2.400000e-02	6.027613e+01	
2.600000e-02	6.069138e+01	
2.800000e-02	6.028768e+01	
3.000000e-02	6.025360e+01	
3.200000e-02	6.017179e+01	
3.400000e-02	5.996703e+01	
3.600000e-02	6.069385e+01	
3.800000e-02	6.050975e+01	
4.000000e-02	6.027047e+01	
4.200000e-02	6.035218e+01	
4.400000e-02	5.973300e+01	
4.600000e-02	6.043013e+01	
4.800000e-02	6.039800e+01	
5.000000e-02	6.015186e+01	
5.200000e-02	6.008556e+01	
5.400000e-02	5.958923e+01	
5.600000e-02	6.030109e+01	
5.800000e-02	6.027030e+01	
6.000000e-02	5.991755e+01	
6.200000e-02	6.006550e+01	
6.400000e-02	6.100982e+01	
6.600000e-02	6.016216e+01	
6.800000e-02	6.065181e+01	
7.000000e-02	6.005361e+01	
7.200000e-02	5.999676e+01	
7.400000e-02	6.053486e+01	
7.600000e-02	6.084254e+01	
7.800000e-02	6.099893e+01	
8.000000e-02	6.009107e+01	
8.200000e-02	6.109517e+01	
8.400000e-02	6.001555e+01	
8.600000e-02	6.058247e+01	
8.800000e-02	5.988204e+01	
9.000000e-02	5.997454e+01	
9.200000e-02	6.044444e+01	
9.400000e-02	6.045047e+01	
9.600000e-02	6.044006e+01	
9.800000e-02	6.011212e+01	
1.000000e-01	6.030351e+01	
1.020000e-01	6.066100e+01	
1.040000e-01	5.931963e+01	
1.060000e-01	6.027584e+01	
1.080000e-01	6.018161e+01	
1.100000e-01	5.974913e+01	
1.120000e-01	6.138519e+01	
1.140000e-01	6.054080e+01	
1.160000e-01	5.976390e+01	
1.180000e-01	6.058239e+01	
1.200000e-01	6.063842e+01	
1.220000e-01	6.106939e+01	
1.240000e-01	5.973976e+01	
1.260000e-01	5.991236e+01	
1.280000e-01	6.124648e+01	
1.300000e-01	5.963008e+01	
1.320000e-01	6.072471e+01	
1.340000e-01	6.002261e+01	
1.360000e-01	6.033547e+01	
1.380000e-01	5.963127e+01	
1.400000e-01	6.029593e+01	
1.420000e-01	6.058692e+01	
1.440000e-01	6.004162e+01	
1.460000e-01	5.984608e+01	
1.480000e-01	6.054441e+01	
1.500000e-01	5.942081e+01	
1.520000e-01	5.929828e+01	
1.540000e-01	6.032518e+01	
1.560000e-01	5.989814e+01	
1.580000e-01	5.999889e+01	
1.600000e-01	6.093924e+01	
1.620000e-01	5.963166e+01	
1.640000e-01	5.941451e+01	
1.660000e-01	5.943316e+01	
1.680000e-01	5.866727e+01	
1.700000e-01	5.963419e+01	
1.720000e-01	5.980077e+01	
1.740000e-01	6.026499e+01	
1.760000e-01	6.011954e+01	
1.780000e-01	6.056972e+01	
1.800000e-01	5.927140e+01	
1.820000e-01	6.056397e+01	
1.840000e-01	6.069126e+01	
1.860000e-01	6.055440e+01	
1.880000e-01	5.890686e+01	
1.900000e-01	5.965436e+01	
1.920000e-01	6.052472e+01	
1.940000e-01	5.968598e+01	
1.960000e-01	5.898213e+01	
1.980000e-01	5.955491e+01	
