1.00V	1.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	6.345847e+00	
-1.980000e-01	6.479847e+00	
-1.960000e-01	6.421430e+00	
-1.940000e-01	6.414585e+00	
-1.920000e-01	6.233281e+00	
-1.900000e-01	6.349505e+00	
-1.880000e-01	6.202136e+00	
-1.860000e-01	6.377543e+00	
-1.840000e-01	6.509467e+00	
-1.820000e-01	6.468144e+00	
-1.800000e-01	6.472225e+00	
-1.780000e-01	6.289907e+00	
-1.760000e-01	6.240180e+00	
-1.740000e-01	6.276544e+00	
-1.720000e-01	6.416819e+00	
-1.700000e-01	6.462798e+00	
-1.680000e-01	6.424425e+00	
-1.660000e-01	6.282191e+00	
-1.640000e-01	6.162522e+00	
-1.620000e-01	6.225406e+00	
-1.600000e-01	6.225625e+00	
-1.580000e-01	6.468696e+00	
-1.560000e-01	6.204213e+00	
-1.540000e-01	6.334129e+00	
-1.520000e-01	6.330551e+00	
-1.500000e-01	6.185974e+00	
-1.480000e-01	6.155545e+00	
-1.460000e-01	6.264959e+00	
-1.440000e-01	6.497286e+00	
-1.420000e-01	6.384407e+00	
-1.400000e-01	6.304254e+00	
-1.380000e-01	6.241828e+00	
-1.360000e-01	6.169525e+00	
-1.340000e-01	6.208097e+00	
-1.320000e-01	6.274504e+00	
-1.300000e-01	6.451873e+00	
-1.280000e-01	6.418872e+00	
-1.260000e-01	6.342319e+00	
-1.240000e-01	6.605363e+00	
-1.220000e-01	6.168459e+00	
-1.200000e-01	6.163324e+00	
-1.180000e-01	6.303079e+00	
-1.160000e-01	6.403310e+00	
-1.140000e-01	6.376128e+00	
-1.120000e-01	6.239678e+00	
-1.100000e-01	6.153556e+00	
-1.080000e-01	6.114908e+00	
-1.060000e-01	6.118335e+00	
-1.040000e-01	6.255929e+00	
-1.020000e-01	6.315625e+00	
-1.000000e-01	6.295736e+00	
-9.800000e-02	6.236930e+00	
-9.600000e-02	6.123901e+00	
-9.400000e-02	6.002321e+00	
-9.200000e-02	6.105920e+00	
-9.000000e-02	6.306214e+00	
-8.800000e-02	6.285075e+00	
-8.600000e-02	6.315008e+00	
-8.400000e-02	6.275480e+00	
-8.200000e-02	6.067168e+00	
-8.000000e-02	6.086327e+00	
-7.800000e-02	6.160349e+00	
-7.600000e-02	6.189601e+00	
-7.400000e-02	6.308295e+00	
-7.200000e-02	6.154763e+00	
-7.000000e-02	6.038902e+00	
-6.800000e-02	5.913448e+00	
-6.600000e-02	5.982850e+00	
-6.400000e-02	6.064574e+00	
-6.200000e-02	6.156888e+00	
-6.000000e-02	6.161636e+00	
-5.800000e-02	5.948887e+00	
-5.600000e-02	5.881303e+00	
-5.400000e-02	5.903050e+00	
-5.200000e-02	5.957901e+00	
-5.000000e-02	6.135115e+00	
-4.800000e-02	6.023447e+00	
-4.600000e-02	5.991194e+00	
-4.400000e-02	5.835747e+00	
-4.200000e-02	5.776299e+00	
-4.000000e-02	5.643936e+00	
-3.800000e-02	5.792491e+00	
-3.600000e-02	5.943416e+00	
-3.400000e-02	5.868645e+00	
-3.200000e-02	5.702992e+00	
-3.000000e-02	5.501647e+00	
-2.800000e-02	5.343491e+00	
-2.600000e-02	5.387162e+00	
-2.400000e-02	5.532736e+00	
-2.200000e-02	5.522859e+00	
-2.000000e-02	5.301537e+00	
-1.800000e-02	5.087834e+00	
-1.600000e-02	5.087705e+00	
-1.400000e-02	4.805925e+00	
-1.200000e-02	4.734937e+00	
