3.00V	3.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	1.644246e+01	
-1.980000e-01	1.642209e+01	
-1.960000e-01	1.655174e+01	
-1.940000e-01	1.616514e+01	
-1.920000e-01	1.613286e+01	
-1.900000e-01	1.617853e+01	
-1.880000e-01	1.634202e+01	
-1.860000e-01	1.625431e+01	
-1.840000e-01	1.624371e+01	
-1.820000e-01	1.646821e+01	
-1.800000e-01	1.614787e+01	
-1.780000e-01	1.601613e+01	
-1.760000e-01	1.624107e+01	
-1.740000e-01	1.615813e+01	
-1.720000e-01	1.635130e+01	
-1.700000e-01	1.633122e+01	
-1.680000e-01	1.605349e+01	
-1.660000e-01	1.598107e+01	
-1.640000e-01	1.594468e+01	
-1.620000e-01	1.601108e+01	
-1.600000e-01	1.600082e+01	
-1.580000e-01	1.608290e+01	
-1.560000e-01	1.628636e+01	
-1.540000e-01	1.613857e+01	
-1.520000e-01	1.606067e+01	
-1.500000e-01	1.608965e+01	
-1.480000e-01	1.637923e+01	
-1.460000e-01	1.573491e+01	
-1.440000e-01	1.616262e+01	
-1.420000e-01	1.599516e+01	
-1.400000e-01	1.611466e+01	
-1.380000e-01	1.605409e+01	
-1.360000e-01	1.591718e+01	
-1.340000e-01	1.589382e+01	
-1.320000e-01	1.594742e+01	
-1.300000e-01	1.606412e+01	
-1.280000e-01	1.603293e+01	
-1.260000e-01	1.577450e+01	
-1.240000e-01	1.603639e+01	
-1.220000e-01	1.607827e+01	
-1.200000e-01	1.606145e+01	
-1.180000e-01	1.602125e+01	
-1.160000e-01	1.606973e+01	
-1.140000e-01	1.611638e+01	
-1.120000e-01	1.579343e+01	
-1.100000e-01	1.578505e+01	
-1.080000e-01	1.579949e+01	
-1.060000e-01	1.590419e+01	
-1.040000e-01	1.594171e+01	
-1.020000e-01	1.582777e+01	
-1.000000e-01	1.562502e+01	
-9.800000e-02	1.584656e+01	
-9.600000e-02	1.579061e+01	
-9.400000e-02	1.559747e+01	
-9.200000e-02	1.567300e+01	
-9.000000e-02	1.553448e+01	
-8.800000e-02	1.573963e+01	
-8.600000e-02	1.572404e+01	
-8.400000e-02	1.546108e+01	
-8.200000e-02	1.565963e+01	
-8.000000e-02	1.542107e+01	
-7.800000e-02	1.573551e+01	
-7.600000e-02	1.544933e+01	
-7.400000e-02	1.563541e+01	
-7.200000e-02	1.565564e+01	
-7.000000e-02	1.557514e+01	
-6.800000e-02	1.547923e+01	
-6.600000e-02	1.553195e+01	
-6.400000e-02	1.538715e+01	
-6.200000e-02	1.549258e+01	
-6.000000e-02	1.518961e+01	
-5.800000e-02	1.497279e+01	
-5.600000e-02	1.516342e+01	
-5.400000e-02	1.525063e+01	
-5.200000e-02	1.508107e+01	
-5.000000e-02	1.491749e+01	
-4.800000e-02	1.501645e+01	
-4.600000e-02	1.507152e+01	
-4.400000e-02	1.501132e+01	
-4.200000e-02	1.464069e+01	
-4.000000e-02	1.476086e+01	
-3.800000e-02	1.470281e+01	
-3.600000e-02	1.465237e+01	
-3.400000e-02	1.450412e+01	
-3.200000e-02	1.448852e+01	
-3.000000e-02	1.418661e+01	
-2.800000e-02	1.380923e+01	
-2.600000e-02	1.395641e+01	
-2.400000e-02	1.385762e+01	
-2.200000e-02	1.379160e+01	
-2.000000e-02	1.357186e+01	
-1.800000e-02	1.354044e+01	
-1.600000e-02	1.330903e+01	
-1.400000e-02	1.278674e+01	
-1.200000e-02	1.273538e+01	
-1.000000e-02	1.253892e+01	
-8.000000e-03	1.256740e+01	
-6.000000e-03	1.245907e+01	
-4.000000e-03	1.295799e+01	
-2.000000e-03	1.354580e+01	
0.000000e+00	1.439011e+01	
2.000000e-03	1.628187e+01	
4.000000e-03	1.813862e+01	
6.000000e-03	1.927449e+01	
8.000000e-03	1.999166e+01	
1.000000e-02	2.021640e+01	
1.200000e-02	2.017626e+01	
1.400000e-02	1.995305e+01	
1.600000e-02	1.982093e+01	
1.800000e-02	1.960116e+01	
2.000000e-02	1.953818e+01	
2.200000e-02	1.909611e+01	
2.400000e-02	1.874991e+01	
2.600000e-02	1.871144e+01	
2.800000e-02	1.867773e+01	
3.000000e-02	1.834531e+01	
3.200000e-02	1.847006e+01	
3.400000e-02	1.833998e+01	
3.600000e-02	1.828511e+01	
3.800000e-02	1.783534e+01	
4.000000e-02	1.786422e+01	
4.200000e-02	1.788025e+01	
4.400000e-02	1.759628e+01	
4.600000e-02	1.784679e+01	
4.800000e-02	1.755734e+01	
5.000000e-02	1.770174e+01	
5.200000e-02	1.756790e+01	
5.400000e-02	1.723740e+01	
5.600000e-02	1.708377e+01	
5.800000e-02	1.744497e+01	
6.000000e-02	1.739230e+01	
6.200000e-02	1.726837e+01	
6.400000e-02	1.703014e+01	
6.600000e-02	1.714704e+01	
6.800000e-02	1.728664e+01	
7.000000e-02	1.719475e+01	
7.200000e-02	1.702593e+01	
7.400000e-02	1.714979e+01	
7.600000e-02	1.692644e+01	
7.800000e-02	1.687912e+01	
8.000000e-02	1.673393e+01	
8.200000e-02	1.684411e+01	
8.400000e-02	1.691437e+01	
8.600000e-02	1.706221e+01	
8.800000e-02	1.687849e+01	
9.000000e-02	1.671514e+01	
9.200000e-02	1.663916e+01	
9.400000e-02	1.655942e+01	
9.600000e-02	1.654555e+01	
9.800000e-02	1.679448e+01	
1.000000e-01	1.674342e+01	
1.020000e-01	1.665677e+01	
1.040000e-01	1.667557e+01	
1.060000e-01	1.666691e+01	
1.080000e-01	1.676835e+01	
1.100000e-01	1.668195e+01	
1.120000e-01	1.674218e+01	
1.140000e-01	1.656713e+01	
1.160000e-01	1.654576e+01	
1.180000e-01	1.638275e+01	
1.200000e-01	1.646886e+01	
1.220000e-01	1.639683e+01	
1.240000e-01	1.656550e+01	
1.260000e-01	1.651426e+01	
1.280000e-01	1.655922e+01	
1.300000e-01	1.645644e+01	
1.320000e-01	1.665937e+01	
1.340000e-01	1.642830e+01	
1.360000e-01	1.639478e+01	
1.380000e-01	1.645411e+01	
1.400000e-01	1.647215e+01	
1.420000e-01	1.644764e+01	
1.440000e-01	1.638385e+01	
1.460000e-01	1.628386e+01	
1.480000e-01	1.622824e+01	
1.500000e-01	1.651346e+01	
1.520000e-01	1.641993e+01	
1.540000e-01	1.632327e+01	
1.560000e-01	1.639210e+01	
1.580000e-01	1.631719e+01	
1.600000e-01	1.657531e+01	
1.620000e-01	1.628749e+01	
1.640000e-01	1.634161e+01	
1.660000e-01	1.635849e+01	
1.680000e-01	1.607236e+01	
1.700000e-01	1.629236e+01	
1.720000e-01	1.623258e+01	
1.740000e-01	1.597998e+01	
