6.00V	6.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	3.975894e+01	
-1.980000e-01	3.929446e+01	
-1.960000e-01	3.960767e+01	
-1.940000e-01	3.917621e+01	
-1.920000e-01	3.893143e+01	
-1.900000e-01	3.905431e+01	
-1.880000e-01	3.931389e+01	
-1.860000e-01	3.880562e+01	
-1.840000e-01	3.854681e+01	
-1.820000e-01	3.872547e+01	
-1.800000e-01	3.827115e+01	
-1.780000e-01	3.904788e+01	
-1.760000e-01	3.856411e+01	
-1.740000e-01	3.845054e+01	
-1.720000e-01	3.888863e+01	
-1.700000e-01	3.847669e+01	
-1.680000e-01	3.869815e+01	
-1.660000e-01	3.941173e+01	
-1.640000e-01	3.942539e+01	
-1.620000e-01	3.889428e+01	
-1.600000e-01	3.878718e+01	
-1.580000e-01	3.859238e+01	
-1.560000e-01	3.904384e+01	
-1.540000e-01	3.879734e+01	
-1.520000e-01	3.851415e+01	
-1.500000e-01	3.914278e+01	
-1.480000e-01	3.883407e+01	
-1.460000e-01	3.858468e+01	
-1.440000e-01	3.860368e+01	
-1.420000e-01	3.876413e+01	
-1.400000e-01	3.861067e+01	
-1.380000e-01	3.864326e+01	
-1.360000e-01	3.846372e+01	
-1.340000e-01	3.838491e+01	
-1.320000e-01	3.913845e+01	
-1.300000e-01	3.908375e+01	
-1.280000e-01	3.899029e+01	
-1.260000e-01	3.879340e+01	
-1.240000e-01	3.911250e+01	
-1.220000e-01	3.923771e+01	
-1.200000e-01	3.942174e+01	
-1.180000e-01	3.932654e+01	
-1.160000e-01	3.930176e+01	
-1.140000e-01	3.890028e+01	
-1.120000e-01	3.945047e+01	
-1.100000e-01	3.945306e+01	
-1.080000e-01	3.935453e+01	
-1.060000e-01	3.910150e+01	
-1.040000e-01	3.945476e+01	
-1.020000e-01	4.012920e+01	
-1.000000e-01	3.985243e+01	
-9.800000e-02	3.935473e+01	
-9.600000e-02	3.942328e+01	
-9.400000e-02	3.989666e+01	
-9.200000e-02	3.981857e+01	
-9.000000e-02	3.938832e+01	
-8.800000e-02	3.951784e+01	
-8.600000e-02	3.915035e+01	
-8.400000e-02	3.971814e+01	
-8.200000e-02	3.932668e+01	
-8.000000e-02	3.968568e+01	
-7.800000e-02	3.940747e+01	
-7.600000e-02	3.954304e+01	
-7.400000e-02	3.997842e+01	
-7.200000e-02	3.955444e+01	
-7.000000e-02	3.937760e+01	
-6.800000e-02	4.015083e+01	
-6.600000e-02	3.914475e+01	
-6.400000e-02	3.956130e+01	
-6.200000e-02	3.964218e+01	
-6.000000e-02	3.888874e+01	
-5.800000e-02	3.995476e+01	
-5.600000e-02	3.909146e+01	
-5.400000e-02	3.927201e+01	
-5.200000e-02	3.925262e+01	
-5.000000e-02	3.908955e+01	
-4.800000e-02	3.979034e+01	
-4.600000e-02	3.938682e+01	
-4.400000e-02	3.903963e+01	
-4.200000e-02	3.926921e+01	
-4.000000e-02	3.986270e+01	
-3.800000e-02	3.970226e+01	
-3.600000e-02	3.912115e+01	
-3.400000e-02	3.955601e+01	
-3.200000e-02	3.884726e+01	
-3.000000e-02	3.933139e+01	
-2.800000e-02	3.883328e+01	
-2.600000e-02	3.847790e+01	
-2.400000e-02	3.912622e+01	
-2.200000e-02	3.864591e+01	
-2.000000e-02	3.869793e+01	
-1.800000e-02	3.862563e+01	
-1.600000e-02	3.837834e+01	
-1.400000e-02	3.795197e+01	
-1.200000e-02	3.826081e+01	
-1.000000e-02	3.916052e+01	
-8.000000e-03	3.901496e+01	
-6.000000e-03	3.907582e+01	
-4.000000e-03	3.986083e+01	
-2.000000e-03	4.042146e+01	
0.000000e+00	4.004977e+01	
2.000000e-03	4.112610e+01	
4.000000e-03	4.119956e+01	
6.000000e-03	4.237625e+01	
8.000000e-03	4.324395e+01	
1.000000e-02	4.367191e+01	
1.200000e-02	4.324255e+01	
1.400000e-02	4.397970e+01	
1.600000e-02	4.415575e+01	
1.800000e-02	4.316205e+01	
2.000000e-02	4.379853e+01	
2.200000e-02	4.379608e+01	
2.400000e-02	4.356585e+01	
2.600000e-02	4.332683e+01	
2.800000e-02	4.295835e+01	
3.000000e-02	4.302395e+01	
3.200000e-02	4.295634e+01	
3.400000e-02	4.269990e+01	
3.600000e-02	4.346640e+01	
3.800000e-02	4.280294e+01	
4.000000e-02	4.283428e+01	
4.200000e-02	4.268089e+01	
4.400000e-02	4.201161e+01	
4.600000e-02	4.280631e+01	
4.800000e-02	4.286764e+01	
5.000000e-02	4.212543e+01	
5.200000e-02	4.226957e+01	
5.400000e-02	4.263367e+01	
5.600000e-02	4.216844e+01	
5.800000e-02	4.214876e+01	
6.000000e-02	4.224335e+01	
6.200000e-02	4.262662e+01	
