4.00V	4.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	2.042076e+01	
-1.980000e-01	2.047178e+01	
-1.960000e-01	2.027818e+01	
-1.940000e-01	2.044042e+01	
-1.920000e-01	2.024959e+01	
-1.900000e-01	2.041936e+01	
-1.880000e-01	2.062890e+01	
-1.860000e-01	2.034578e+01	
-1.840000e-01	2.027411e+01	
-1.820000e-01	2.035281e+01	
-1.800000e-01	2.010933e+01	
-1.780000e-01	2.032149e+01	
-1.760000e-01	2.024239e+01	
-1.740000e-01	2.007842e+01	
-1.720000e-01	2.006836e+01	
-1.700000e-01	1.996053e+01	
-1.680000e-01	2.028678e+01	
-1.660000e-01	2.017448e+01	
-1.640000e-01	2.013545e+01	
-1.620000e-01	2.019960e+01	
-1.600000e-01	2.034618e+01	
-1.580000e-01	2.029368e+01	
-1.560000e-01	2.053672e+01	
-1.540000e-01	2.037527e+01	
-1.520000e-01	2.027626e+01	
-1.500000e-01	2.027694e+01	
-1.480000e-01	2.030979e+01	
-1.460000e-01	2.007173e+01	
-1.440000e-01	2.035773e+01	
-1.420000e-01	2.023714e+01	
-1.400000e-01	2.042113e+01	
-1.380000e-01	2.031419e+01	
-1.360000e-01	1.999591e+01	
-1.340000e-01	2.008954e+01	
-1.320000e-01	2.002139e+01	
-1.300000e-01	2.003422e+01	
-1.280000e-01	2.022444e+01	
-1.260000e-01	2.054045e+01	
-1.240000e-01	2.010206e+01	
-1.220000e-01	2.026252e+01	
-1.200000e-01	2.005705e+01	
-1.180000e-01	1.998206e+01	
-1.160000e-01	2.015462e+01	
-1.140000e-01	2.002945e+01	
-1.120000e-01	2.007149e+01	
-1.100000e-01	2.002590e+01	
-1.080000e-01	1.997735e+01	
-1.060000e-01	2.012054e+01	
-1.040000e-01	1.976113e+01	
-1.020000e-01	2.000717e+01	
-1.000000e-01	1.997053e+01	
-9.800000e-02	1.981954e+01	
-9.600000e-02	2.020938e+01	
-9.400000e-02	1.989822e+01	
-9.200000e-02	1.995946e+01	
-9.000000e-02	1.985031e+01	
-8.800000e-02	1.984471e+01	
-8.600000e-02	1.988658e+01	
-8.400000e-02	1.976562e+01	
-8.200000e-02	1.958586e+01	
-8.000000e-02	1.941369e+01	
-7.800000e-02	1.965268e+01	
-7.600000e-02	1.961428e+01	
-7.400000e-02	1.984736e+01	
-7.200000e-02	1.962657e+01	
-7.000000e-02	1.955954e+01	
-6.800000e-02	1.962749e+01	
-6.600000e-02	1.949342e+01	
-6.400000e-02	1.981067e+01	
-6.200000e-02	1.939680e+01	
-6.000000e-02	1.937591e+01	
-5.800000e-02	1.925424e+01	
-5.600000e-02	1.951853e+01	
-5.400000e-02	1.911448e+01	
-5.200000e-02	1.948572e+01	
-5.000000e-02	1.932828e+01	
-4.800000e-02	1.906405e+01	
-4.600000e-02	1.905411e+01	
-4.400000e-02	1.895738e+01	
-4.200000e-02	1.898506e+01	
-4.000000e-02	1.871771e+01	
-3.800000e-02	1.902552e+01	
-3.600000e-02	1.872618e+01	
-3.400000e-02	1.862669e+01	
-3.200000e-02	1.844511e+01	
-3.000000e-02	1.819491e+01	
-2.800000e-02	1.809090e+01	
-2.600000e-02	1.816503e+01	
-2.400000e-02	1.793141e+01	
-2.200000e-02	1.783229e+01	
-2.000000e-02	1.744728e+01	
-1.800000e-02	1.747486e+01	
-1.600000e-02	1.735580e+01	
-1.400000e-02	1.713907e+01	
-1.200000e-02	1.709503e+01	
-1.000000e-02	1.705135e+01	
-8.000000e-03	1.683508e+01	
-6.000000e-03	1.698730e+01	
-4.000000e-03	1.746394e+01	
-2.000000e-03	1.838553e+01	
0.000000e+00	1.946170e+01	
2.000000e-03	2.075213e+01	
4.000000e-03	2.196589e+01	
6.000000e-03	2.334278e+01	
8.000000e-03	2.410292e+01	
1.000000e-02	2.421150e+01	
1.200000e-02	2.459879e+01	
1.400000e-02	2.439209e+01	
1.600000e-02	2.451725e+01	
1.800000e-02	2.424789e+01	
2.000000e-02	2.383254e+01	
2.200000e-02	2.389512e+01	
