5.00V	5.00V
Magnetic Field (T)	Lock-In Average (V)
1.600000e-01	2.791340e+01	
1.620000e-01	2.809475e+01	
1.640000e-01	2.801518e+01	
1.660000e-01	2.824103e+01	
1.680000e-01	2.828404e+01	
1.700000e-01	2.816826e+01	
1.720000e-01	2.817449e+01	
1.740000e-01	2.798020e+01	
1.760000e-01	2.767288e+01	
1.780000e-01	2.769577e+01	
1.800000e-01	2.795751e+01	
1.820000e-01	2.783265e+01	
1.840000e-01	2.787965e+01	
1.860000e-01	2.788242e+01	
1.880000e-01	2.817678e+01	
1.900000e-01	2.834133e+01	
1.920000e-01	2.794546e+01	
1.940000e-01	2.783730e+01	
1.960000e-01	2.811017e+01	
1.980000e-01	2.841439e+01	
