duty_cycle	index_2d	file_index	run_id	probe_delay	wavelength	voltage	kerr_offset	amplitude	amplitude_error	gfactor	gfactor_error	delay_time	b_zero_offset	slope	offset	offset_error	result_index	chisqr	redchi
0.5	0.0	0.0	0.0	-160.0	836.17	1.0	-7.028924815	-1.9801575147432686	0.09173646069836756	78.24208716531292	5.225327069117576	-160.0	0.0	0.0	0.0002823071848752079	0.009679622397745601	0	3.715770897700012	0.018861781206599048
0.5	1.0	1.0	0.0	-160.0	836.17	2.0	-13.152661499999999	-3.1955468533305975	0.1298069720598749	65.51039949202504	3.8513040602890425	-160.0	0.0	0.0	0.0005439347730202826	0.015027708548782276	1	8.88609800270395	0.04510709646042614
0.5	2.0	2.0	0.0	-160.0	836.17	3.0	-19.6171274	-3.76058920879143	0.11448363292267591	51.13321982144088	2.2689047583228197	-160.0	0.0	0.0	0.0008194860474901589	0.01499504054095937	2	8.854018989539764	0.04494425883015109
0.5	3.0	3.0	0.0	-160.0	836.17	4.0	-29.261423450000002	-3.7497494985601634	0.2060489670530841	47.58638681397314	3.8205470093996663	-160.0	0.0	0.0	0.000877769641945747	0.027979867793952666	3	30.819849747602788	0.1564459378050903
0.5	4.0	4.0	0.0	-160.0	836.17	5.0	-39.19340995	-3.566287966685195	0.34765625712483	47.91618690738831	6.821992804004299	-160.0	0.0	0.0	0.0008291024848432471	0.04706256788984914	4	87.1648082208001	0.4424609554355335
0.5	5.0	5.0	0.0	-160.0	836.17	6.0	-48.198374050000005	-3.154053314500061	0.4016073530751327	41.57047301564807	7.776393456177293	-160.0	0.0	0.0	0.0008445956353426709	0.058257719363598304	5	133.9387060969894	0.6798919091217736
0.5	6.0	6.0	0.0	-160.0	836.17	7.0	-56.3693127	-2.8563590987743055	0.43924959447644457	43.37396642590194	9.782416387133445	-160.0	0.0	0.0	0.0007332468689185134	0.06239485166004441	6	153.56076212559233	0.7794962544446311
1.0	0.0	7.0	1.0	-160.0	836.17	1.0	-6.35305248	-3.9907945428266203	0.16002674471631576	75.77822511724374	4.3828831334209575	-160.0	0.0	0.0	0.0005874275348389801	0.017160276642559525	7	11.676600440771061	0.05927208345569066
1.0	1.0	8.0	1.0	-160.0	836.17	2.0	-12.34023481	-6.486726508370339	0.21859395474806365	65.26256643705449	3.183601619582726	-160.0	0.0	0.0	0.0011083309177735146	0.025313841793377822	8	25.288603973160292	0.12836854808710807
1.0	2.0	9.0	1.0	-160.0	836.17	3.0	-16.240375099999998	-7.422266973716432	0.1870822656144026	53.68700119050116	1.9692115415070695	-160.0	0.0	0.0	0.0015407528973270246	0.023918181986437383	9	22.522367746505147	0.11432673982997536
1.0	3.0	10.0	1.0	-160.0	836.17	4.0	-20.623303500000002	-7.423668653959453	0.1309799207206052	42.817436018489225	1.1081413972141252	-160.0	0.0	0.0	0.001930343753571151	0.01873474637387335	10	13.841445702972068	0.07026114570036583
1.0	4.0	11.0	1.0	-160.0	836.17	5.0	-27.931774599999997	-6.484046256771876	0.14113305036278195	34.256015795932434	1.1048865595276882	-160.0	0.0	0.0	0.0021041864753783557	0.022584536747699467	11	20.088109993237467	0.10197010148851506
1.0	5.0	12.0	1.0	-160.0	836.17	6.0	-40.6575486	-4.895232605833712	0.20192048373998558	15.726232217768644	1.0293289850461436	-160.0	0.0	0.0	0.003406413609056358	0.04768399795514216	12	89.57036208993031	0.45467188878137216
1.0	6.0	13.0	1.0	-160.0	836.17	7.0	-58.883872499999995	-3.4351014959565873	0.13647814038818615	9.49050072487285	0.6623927830563292	-160.0	0.0	0.0	0.003828866447364021	0.04144296325608963	13	67.65277278905171	0.34341509029975487
