RMBE1130-K_30K_100ps_836nm_[1-10]Horiz_PumpSens10mV_Axis1	RMBE1130-K_30K_100ps_836nm_[1-10]Horiz_PumpSens10mV_Axis1	RMBE1130-K_30K_100ps_836nm_[1-10]Horiz_PumpSens10mV_Axis1
Mirror Position (um)	Lock-In 1 (V)	Lock-In 2 (V)
-2.000000e+002	1.661000e-003	5.740000e-003
-1.950000e+002	1.721000e-003	5.300000e-003
-1.900000e+002	1.697000e-003	5.820000e-003
-1.850000e+002	1.571000e-003	6.000000e-003
-1.800000e+002	1.674000e-003	6.580000e-003
-1.750000e+002	1.517000e-003	4.680000e-003
-1.700000e+002	1.630000e-003	4.780000e-003
-1.650000e+002	1.552000e-003	5.100000e-003
-1.600000e+002	1.414000e-003	4.820000e-003
-1.550000e+002	1.329000e-003	4.680000e-003
-1.500000e+002	1.197000e-003	5.040000e-003
-1.450000e+002	1.110000e-003	5.000000e-003
-1.400000e+002	1.107000e-003	5.460000e-003
-1.350000e+002	9.830000e-004	5.000000e-003
-1.300000e+002	9.390000e-004	5.460000e-003
-1.250000e+002	8.640000e-004	4.900000e-003
-1.200000e+002	8.310000e-004	5.580000e-003
-1.150000e+002	7.520000e-004	6.800000e-003
-1.100000e+002	7.400000e-004	6.480000e-003
-1.050000e+002	7.090000e-004	7.720000e-003
-1.000000e+002	7.060000e-004	9.080000e-003
-9.500000e+001	7.400000e-004	1.026000e-002
-9.000000e+001	7.020000e-004	1.418000e-002
-8.500000e+001	7.090000e-004	1.730000e-002
-8.000000e+001	7.610000e-004	2.280000e-002
-7.500000e+001	6.940000e-004	3.290000e-002
-7.000000e+001	8.370000e-004	4.034000e-002
-6.500000e+001	9.250000e-004	6.216000e-002
-6.000000e+001	1.027000e-003	6.934000e-002
-5.500000e+001	1.115000e-003	9.448000e-002
-5.000000e+001	1.302000e-003	1.234600e-001
-4.500000e+001	1.356000e-003	1.630800e-001
-4.000000e+001	1.731000e-003	1.845000e-001
-3.500000e+001	1.777000e-003	2.198200e-001
-3.000000e+001	1.994000e-003	2.583400e-001
-2.500000e+001	2.252000e-003	2.830600e-001
-2.000000e+001	2.558000e-003	3.167200e-001
-1.500000e+001	2.521000e-003	3.411800e-001
-1.000000e+001	2.649000e-003	3.634400e-001
-5.000000e+000	2.650000e-003	3.723600e-001
0.000000e+000	2.647000e-003	3.774200e-001
5.000000e+000	2.705000e-003	3.850400e-001
1.000000e+001	2.615000e-003	3.775200e-001
1.500000e+001	2.436000e-003	3.560000e-001
2.000000e+001	2.287000e-003	3.320800e-001
2.500000e+001	1.953000e-003	2.833800e-001
3.000000e+001	1.774000e-003	2.456400e-001
3.500000e+001	1.696000e-003	2.234000e-001
4.000000e+001	1.388000e-003	1.828200e-001
4.500000e+001	1.253000e-003	1.477600e-001
5.000000e+001	1.042000e-003	1.196200e-001
5.500000e+001	9.350000e-004	9.836000e-002
6.000000e+001	8.830000e-004	7.572000e-002
6.500000e+001	8.480000e-004	6.002000e-002
7.000000e+001	8.030000e-004	4.968000e-002
7.500000e+001	7.930000e-004	3.608000e-002
8.000000e+001	8.640000e-004	2.468000e-002
8.500000e+001	8.460000e-004	2.428000e-002
9.000000e+001	9.570000e-004	1.870000e-002
9.500000e+001	1.101000e-003	1.686000e-002
1.000000e+002	1.244000e-003	1.438000e-002
1.050000e+002	1.445000e-003	1.238000e-002
1.100000e+002	1.672000e-003	1.098000e-002
1.150000e+002	1.575000e-003	1.088000e-002
1.200000e+002	1.681000e-003	1.052000e-002
1.250000e+002	1.799000e-003	1.006000e-002
1.300000e+002	2.150000e-003	9.880000e-003
1.350000e+002	2.262000e-003	9.040000e-003
1.400000e+002	2.130000e-003	8.620000e-003
1.450000e+002	2.264000e-003	8.300000e-003
1.500000e+002	2.107000e-003	6.940000e-003
1.550000e+002	2.095000e-003	6.420000e-003
1.600000e+002	2.079000e-003	6.380000e-003
1.650000e+002	2.266000e-003	6.020000e-003
1.700000e+002	1.960000e-003	6.080000e-003
1.750000e+002	2.050000e-003	6.460000e-003
1.800000e+002	1.815000e-003	5.860000e-003
1.850000e+002	1.747000e-003	4.980000e-003
1.900000e+002	1.676000e-003	4.840000e-003
1.950000e+002	1.456000e-003	4.780000e-003
2.000000e+002	1.310000e-003	3.860000e-003
