run_id	index_2d	index_1d	mirror_pos	lockin1	kerr_rotation	file_index	probe_delay	wavelength
0	12.0	15	-125.0	0.000464	0.02012	1	100.0	836.0
0	12.0	16	-120.0	0.000515	0.02378	1	100.0	836.0
0	12.0	17	-115.0	0.000476	0.03104	1	100.0	836.0
0	12.0	18	-110.0	0.000535	0.03328	1	100.0	836.0
0	12.0	19	-105.0	0.000576	0.0403	1	100.0	836.0
0	12.0	20	-100.0	0.000625	0.05062	1	100.0	836.0
0	12.0	21	-95.0	0.000692	0.0592	1	100.0	836.0
0	12.0	22	-90.0	0.0008	0.06726	1	100.0	836.0
0	12.0	23	-85.0	0.000818	0.07944	1	100.0	836.0
0	12.0	24	-80.0	0.000919	0.09276	1	100.0	836.0
0	12.0	25	-75.0	0.000981	0.1049	1	100.0	836.0
0	12.0	26	-70.0	0.001045	0.11554	1	100.0	836.0
0	12.0	27	-65.0	0.001121	0.13305999999999998	1	100.0	836.0
0	12.0	28	-60.0	0.001201	0.14956	1	100.0	836.0
0	12.0	29	-55.0	0.001303	0.1647	1	100.0	836.0
0	12.0	30	-50.0	0.001399	0.18375999999999998	1	100.0	836.0
0	12.0	31	-45.0	0.001395	0.18884	1	100.0	836.0
0	12.0	32	-40.0	0.001637	0.2158	1	100.0	836.0
0	12.0	33	-35.0	0.001766	0.24874000000000002	1	100.0	836.0
0	12.0	34	-30.0	0.001892	0.261	1	100.0	836.0
0	12.0	35	-25.0	0.002039	0.3035	1	100.0	836.0
0	12.0	36	-20.0	0.002236	0.31936	1	100.0	836.0
0	12.0	37	-15.0	0.002408	0.3401	1	100.0	836.0
0	12.0	38	-10.0	0.002579	0.36885999999999997	1	100.0	836.0
0	12.0	39	-5.0	0.002735	0.39458000000000004	1	100.0	836.0
0	12.0	40	0.0	0.002827	0.41506000000000004	1	100.0	836.0
0	12.0	41	5.0	0.002843	0.40644	1	100.0	836.0
0	12.0	42	10.0	0.002861	0.4185	1	100.0	836.0
0	12.0	43	15.0	0.002792	0.40184000000000003	1	100.0	836.0
0	12.0	44	20.0	0.002674	0.37312	1	100.0	836.0
0	12.0	45	25.0	0.002536	0.3442	1	100.0	836.0
0	12.0	46	30.0	0.002449	0.34488	1	100.0	836.0
0	12.0	47	35.0	0.002186	0.29702	1	100.0	836.0
0	12.0	48	40.0	0.002051	0.25911999999999996	1	100.0	836.0
0	12.0	49	45.0	0.001912	0.22708000000000003	1	100.0	836.0
0	12.0	50	50.0	0.001853	0.19304000000000002	1	100.0	836.0
0	12.0	51	55.0	0.001657	0.16968	1	100.0	836.0
0	12.0	52	60.0	0.001665	0.13812	1	100.0	836.0
0	12.0	53	65.0	0.001316	0.1028	1	100.0	836.0
0	12.0	54	70.0	0.001273	0.08806	1	100.0	836.0
0	12.0	55	75.0	0.001128	0.07762	1	100.0	836.0
